K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 97, loss: 0.917817, train acc: 0.853333, train avg acc: 0.856090
Test 97, loss: 0.941161, test acc: 0.800000, test avg acc: 0.791667
Train 98, loss: 0.891548, train acc: 0.853333, train avg acc: 0.843939
Test 98, loss: 0.938861, test acc: 0.725000, test avg acc: 0.713889
Train 99, loss: 0.901456, train acc: 0.840000, train avg acc: 0.840278
Test 99, loss: 0.933774, test acc: 0.775000, test avg acc: 0.769444
Train 100, loss: 0.928660, train acc: 0.826667, train avg acc: 0.830803
Test 100, loss: 0.938108, test acc: 0.775000, test avg acc: 0.769444
Train 101, loss: 0.916641, train acc: 0.833333, train avg acc: 0.832265
Test 101, loss: 0.923557, test acc: 0.800000, test avg acc: 0.791667
Train 102, loss: 0.900461, train acc: 0.853333, train avg acc: 0.862500
Test 102, loss: 0.909365, test acc: 0.775000, test avg acc: 0.761111
Train 103, loss: 0.915516, train acc: 0.800000, train avg acc: 0.799964
Test 103, loss: 0.897847, test acc: 0.800000, test avg acc: 0.786111
Train 104, loss: 0.907689, train acc: 0.840000, train avg acc: 0.846154
Test 104, loss: 0.901131, test acc: 0.800000, test avg acc: 0.783333
Train 105, loss: 0.913360, train acc: 0.853333, train avg acc: 0.857432
Test 105, loss: 0.913147, test acc: 0.825000, test avg acc: 0.813889
Train 106, loss: 0.899376, train acc: 0.860000, train avg acc: 0.865385
Test 106, loss: 0.904377, test acc: 0.825000, test avg acc: 0.811111
Train 107, loss: 0.931874, train acc: 0.806667, train avg acc: 0.809211
Test 107, loss: 0.897513, test acc: 0.825000, test avg acc: 0.811111
Train 108, loss: 0.939951, train acc: 0.820000, train avg acc: 0.822013
Test 108, loss: 0.906192, test acc: 0.800000, test avg acc: 0.783333
Train 109, loss: 0.925162, train acc: 0.800000, train avg acc: 0.799609
Test 109, loss: 0.920650, test acc: 0.775000, test avg acc: 0.758333
Train 110, loss: 0.919211, train acc: 0.866667, train avg acc: 0.864865
Test 110, loss: 0.939457, test acc: 0.725000, test avg acc: 0.711111
Train 111, loss: 0.921142, train acc: 0.840000, train avg acc: 0.844973
Test 111, loss: 0.945379, test acc: 0.775000, test avg acc: 0.766667
Train 112, loss: 0.925199, train acc: 0.826667, train avg acc: 0.831806
Test 112, loss: 0.936236, test acc: 0.800000, test avg acc: 0.786111
Train 113, loss: 0.932503, train acc: 0.793333, train avg acc: 0.794872
Test 113, loss: 0.924842, test acc: 0.800000, test avg acc: 0.783333
Train 114, loss: 0.897561, train acc: 0.853333, train avg acc: 0.851243
Test 114, loss: 0.909517, test acc: 0.775000, test avg acc: 0.758333
Train 115, loss: 0.891796, train acc: 0.866667, train avg acc: 0.869115
Test 115, loss: 0.912689, test acc: 0.850000, test avg acc: 0.844444
Train 116, loss: 0.929813, train acc: 0.833333, train avg acc: 0.835239
Test 116, loss: 0.913615, test acc: 0.850000, test avg acc: 0.844444
Train 117, loss: 0.940262, train acc: 0.800000, train avg acc: 0.801113
Test 117, loss: 0.916672, test acc: 0.800000, test avg acc: 0.788889
Train 118, loss: 0.900247, train acc: 0.840000, train avg acc: 0.839616
Test 118, loss: 0.917793, test acc: 0.825000, test avg acc: 0.813889
Train 119, loss: 0.914037, train acc: 0.846667, train avg acc: 0.850169
Test 119, loss: 0.917369, test acc: 0.825000, test avg acc: 0.813889
Train 120, loss: 0.900129, train acc: 0.833333, train avg acc: 0.837888
Test 120, loss: 0.914055, test acc: 0.775000, test avg acc: 0.761111
Train 121, loss: 0.900020, train acc: 0.840000, train avg acc: 0.846382
Test 121, loss: 0.926135, test acc: 0.775000, test avg acc: 0.761111
Train 122, loss: 0.901835, train acc: 0.853333, train avg acc: 0.853485
Test 122, loss: 0.925441, test acc: 0.775000, test avg acc: 0.761111
Train 123, loss: 0.891763, train acc: 0.866667, train avg acc: 0.871879
Test 123, loss: 0.921812, test acc: 0.775000, test avg acc: 0.761111
Train 124, loss: 0.888889, train acc: 0.853333, train avg acc: 0.856202
Test 124, loss: 0.921368, test acc: 0.800000, test avg acc: 0.788889
Train 125, loss: 0.904431, train acc: 0.813333, train avg acc: 0.815476
Test 125, loss: 0.927436, test acc: 0.825000, test avg acc: 0.813889
Train 126, loss: 0.887177, train acc: 0.860000, train avg acc: 0.862162
Test 126, loss: 0.937931, test acc: 0.800000, test avg acc: 0.788889
Train 127, loss: 0.897391, train acc: 0.886667, train avg acc: 0.885234
Test 127, loss: 0.937765, test acc: 0.775000, test avg acc: 0.761111
Train 128, loss: 0.919345, train acc: 0.813333, train avg acc: 0.818489
Test 128, loss: 0.930155, test acc: 0.800000, test avg acc: 0.788889
Train 129, loss: 0.918352, train acc: 0.840000, train avg acc: 0.842399
Test 129, loss: 0.914037, test acc: 0.825000, test avg acc: 0.816667
Train 130, loss: 0.899515, train acc: 0.833333, train avg acc: 0.833333
Test 130, loss: 0.920997, test acc: 0.775000, test avg acc: 0.763889
Train 131, loss: 0.890318, train acc: 0.886667, train avg acc: 0.889339
Test 131, loss: 0.904970, test acc: 0.875000, test avg acc: 0.869444
Train 132, loss: 0.907977, train acc: 0.853333, train avg acc: 0.849451
Test 132, loss: 0.905801, test acc: 0.825000, test avg acc: 0.816667
Train 133, loss: 0.907222, train acc: 0.846667, train avg acc: 0.852564
Test 133, loss: 0.909179, test acc: 0.825000, test avg acc: 0.816667
Train 134, loss: 0.882849, train acc: 0.886667, train avg acc: 0.887561
Test 134, loss: 0.913264, test acc: 0.775000, test avg acc: 0.763889
Train 135, loss: 0.897829, train acc: 0.846667, train avg acc: 0.849593
Test 135, loss: 0.923616, test acc: 0.800000, test avg acc: 0.794444
Train 136, loss: 0.879354, train acc: 0.886667, train avg acc: 0.889293
Test 136, loss: 0.914357, test acc: 0.850000, test avg acc: 0.847222
Train 137, loss: 0.874179, train acc: 0.913333, train avg acc: 0.911184
Test 137, loss: 0.931759, test acc: 0.800000, test avg acc: 0.791667
Train 138, loss: 0.888922, train acc: 0.893333, train avg acc: 0.893137
Test 138, loss: 0.951386, test acc: 0.750000, test avg acc: 0.736111
Train 139, loss: 0.882059, train acc: 0.846667, train avg acc: 0.848611
Test 139, loss: 0.951718, test acc: 0.750000, test avg acc: 0.736111
Train 140, loss: 0.898973, train acc: 0.846667, train avg acc: 0.847756
Test 140, loss: 0.956008, test acc: 0.800000, test avg acc: 0.791667
Train 141, loss: 0.910846, train acc: 0.826667, train avg acc: 0.827347
Test 141, loss: 0.946367, test acc: 0.800000, test avg acc: 0.791667
Train 142, loss: 0.880754, train acc: 0.886667, train avg acc: 0.885037
Test 142, loss: 0.942460, test acc: 0.800000, test avg acc: 0.788889
Train 143, loss: 0.885315, train acc: 0.860000, train avg acc: 0.861842
Test 143, loss: 0.952465, test acc: 0.825000, test avg acc: 0.811111
Train 144, loss: 0.894810, train acc: 0.880000, train avg acc: 0.883699
Test 144, loss: 0.950616, test acc: 0.775000, test avg acc: 0.761111
Train 145, loss: 0.903751, train acc: 0.873333, train avg acc: 0.878289
Test 145, loss: 0.955325, test acc: 0.750000, test avg acc: 0.741667
Train 146, loss: 0.897014, train acc: 0.860000, train avg acc: 0.858455
Test 146, loss: 0.966568, test acc: 0.750000, test avg acc: 0.741667
Train 147, loss: 0.881051, train acc: 0.866667, train avg acc: 0.867637
Test 147, loss: 0.958808, test acc: 0.750000, test avg acc: 0.741667
Train 148, loss: 0.873000, train acc: 0.880000, train avg acc: 0.881410
Test 148, loss: 0.945705, test acc: 0.775000, test avg acc: 0.763889
Train 149, loss: 0.899260, train acc: 0.893333, train avg acc: 0.896424
Test 149, loss: 0.940702, test acc: 0.825000, test avg acc: 0.813889
Train 150, loss: 0.885791, train acc: 0.866667, train avg acc: 0.870108
Test 150, loss: 0.957212, test acc: 0.750000, test avg acc: 0.730556
Train 151, loss: 0.865919, train acc: 0.893333, train avg acc: 0.894664
Test 151, loss: 0.952633, test acc: 0.800000, test avg acc: 0.786111
Train 152, loss: 0.870852, train acc: 0.900000, train avg acc: 0.900728
Test 152, loss: 0.954013, test acc: 0.800000, test avg acc: 0.788889
Train 153, loss: 0.864021, train acc: 0.906667, train avg acc: 0.904915
Test 153, loss: 0.961739, test acc: 0.825000, test avg acc: 0.816667
Train 154, loss: 0.884591, train acc: 0.893333, train avg acc: 0.894737
Test 154, loss: 0.973052, test acc: 0.750000, test avg acc: 0.741667
Train 155, loss: 0.890685, train acc: 0.866667, train avg acc: 0.872116
Test 155, loss: 0.986712, test acc: 0.775000, test avg acc: 0.766667
Train 156, loss: 0.871508, train acc: 0.880000, train avg acc: 0.884615
Test 156, loss: 1.004637, test acc: 0.800000, test avg acc: 0.791667
Train 157, loss: 0.877027, train acc: 0.860000, train avg acc: 0.862064
Test 157, loss: 0.969366, test acc: 0.800000, test avg acc: 0.791667
Train 158, loss: 0.887307, train acc: 0.880000, train avg acc: 0.883097
Test 158, loss: 0.972341, test acc: 0.750000, test avg acc: 0.738889
Train 159, loss: 0.869746, train acc: 0.873333, train avg acc: 0.874635
Test 159, loss: 0.970078, test acc: 0.825000, test avg acc: 0.819444
Train 160, loss: 0.842932, train acc: 0.926667, train avg acc: 0.925676
Test 160, loss: 0.966676, test acc: 0.800000, test avg acc: 0.794444
Train 161, loss: 0.863659, train acc: 0.893333, train avg acc: 0.890709
Test 161, loss: 0.990218, test acc: 0.750000, test avg acc: 0.738889
Train 162, loss: 0.875960, train acc: 0.913333, train avg acc: 0.917434
Test 162, loss: 0.994311, test acc: 0.725000, test avg acc: 0.713889
Train 163, loss: 0.889691, train acc: 0.880000, train avg acc: 0.882622
Test 163, loss: 0.974821, test acc: 0.775000, test avg acc: 0.766667
Train 164, loss: 0.856749, train acc: 0.906667, train avg acc: 0.909215
Test 164, loss: 0.968222, test acc: 0.800000, test avg acc: 0.794444
Train 165, loss: 0.869745, train acc: 0.873333, train avg acc: 0.871622
Test 165, loss: 0.961775, test acc: 0.800000, test avg acc: 0.791667
Train 166, loss: 0.866454, train acc: 0.920000, train avg acc: 0.918919
Test 166, loss: 0.971817, test acc: 0.750000, test avg acc: 0.741667
Train 167, loss: 0.856465, train acc: 0.906667, train avg acc: 0.908907
Test 167, loss: 0.968561, test acc: 0.725000, test avg acc: 0.713889
Train 168, loss: 0.852359, train acc: 0.933333, train avg acc: 0.932788
Test 168, loss: 0.947207, test acc: 0.750000, test avg acc: 0.738889
Train 169, loss: 0.862098, train acc: 0.906667, train avg acc: 0.909244
Test 169, loss: 0.955227, test acc: 0.750000, test avg acc: 0.741667
Train 170, loss: 0.853507, train acc: 0.940000, train avg acc: 0.939286
Test 170, loss: 0.958538, test acc: 0.800000, test avg acc: 0.791667
Train 171, loss: 0.845021, train acc: 0.953333, train avg acc: 0.954934
Test 171, loss: 0.973720, test acc: 0.750000, test avg acc: 0.741667
Train 172, loss: 0.862864, train acc: 0.940000, train avg acc: 0.939103
Test 172, loss: 0.947630, test acc: 0.800000, test avg acc: 0.794444
Train 173, loss: 0.837811, train acc: 0.913333, train avg acc: 0.914469
Test 173, loss: 0.953275, test acc: 0.775000, test avg acc: 0.766667
Train 174, loss: 0.837635, train acc: 0.933333, train avg acc: 0.933499
Test 174, loss: 0.946488, test acc: 0.800000, test avg acc: 0.797222
Train 175, loss: 0.859137, train acc: 0.920000, train avg acc: 0.923024
Test 175, loss: 0.946306, test acc: 0.775000, test avg acc: 0.772222
Train 176, loss: 0.850433, train acc: 0.920000, train avg acc: 0.920640
Test 176, loss: 0.973492, test acc: 0.800000, test avg acc: 0.797222
Train 177, loss: 0.835743, train acc: 0.926667, train avg acc: 0.925748
Test 177, loss: 0.976614, test acc: 0.775000, test avg acc: 0.766667
Train 178, loss: 0.842208, train acc: 0.926667, train avg acc: 0.930929
Test 178, loss: 0.982417, test acc: 0.750000, test avg acc: 0.738889
Train 179, loss: 0.832881, train acc: 0.966667, train avg acc: 0.966880
Test 179, loss: 0.986200, test acc: 0.775000, test avg acc: 0.766667
Train 180, loss: 0.866302, train acc: 0.900000, train avg acc: 0.900183
Test 180, loss: 0.992551, test acc: 0.775000, test avg acc: 0.766667
Train 181, loss: 0.841703, train acc: 0.933333, train avg acc: 0.932432
Test 181, loss: 0.989154, test acc: 0.775000, test avg acc: 0.766667
Train 182, loss: 0.863771, train acc: 0.906667, train avg acc: 0.905702
Test 182, loss: 0.972371, test acc: 0.800000, test avg acc: 0.791667
Train 183, loss: 0.838266, train acc: 0.900000, train avg acc: 0.901074
Test 183, loss: 0.982802, test acc: 0.750000, test avg acc: 0.741667
Train 184, loss: 0.851366, train acc: 0.913333, train avg acc: 0.913736
Test 184, loss: 1.012852, test acc: 0.750000, test avg acc: 0.744444
Train 185, loss: 0.857337, train acc: 0.900000, train avg acc: 0.898076
Test 185, loss: 0.986032, test acc: 0.750000, test avg acc: 0.744444
Train 186, loss: 0.832642, train acc: 0.940000, train avg acc: 0.941734
Test 186, loss: 0.971112, test acc: 0.775000, test avg acc: 0.769444
Train 187, loss: 0.814510, train acc: 0.946667, train avg acc: 0.945055
Test 187, loss: 0.980331, test acc: 0.750000, test avg acc: 0.741667
Train 188, loss: 0.832509, train acc: 0.906667, train avg acc: 0.905405
Test 188, loss: 0.973838, test acc: 0.775000, test avg acc: 0.766667
Train 189, loss: 0.833439, train acc: 0.906667, train avg acc: 0.907831
Test 189, loss: 0.964871, test acc: 0.775000, test avg acc: 0.763889
Train 190, loss: 0.846426, train acc: 0.933333, train avg acc: 0.934511
Test 190, loss: 0.981778, test acc: 0.775000, test avg acc: 0.763889
Train 191, loss: 0.828694, train acc: 0.926667, train avg acc: 0.925853
