K: 15, local_K: 15, Batch: 26.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 86, loss: 0.921125, test acc: 0.825000, test avg acc: 0.822222
Train 87, loss: 0.933969, train acc: 0.801282, train avg acc: 0.806911
Test 87, loss: 0.917594, test acc: 0.850000, test avg acc: 0.844444
Train 88, loss: 0.920306, train acc: 0.820513, train avg acc: 0.824306
Test 88, loss: 0.908952, test acc: 0.850000, test avg acc: 0.841667
Train 89, loss: 0.927007, train acc: 0.801282, train avg acc: 0.806330
Test 89, loss: 0.910873, test acc: 0.825000, test avg acc: 0.816667
Train 90, loss: 0.940950, train acc: 0.794872, train avg acc: 0.796778
Test 90, loss: 0.915617, test acc: 0.825000, test avg acc: 0.819444
Train 91, loss: 0.920371, train acc: 0.820513, train avg acc: 0.822917
Test 91, loss: 0.906379, test acc: 0.850000, test avg acc: 0.841667
Train 92, loss: 0.924251, train acc: 0.820513, train avg acc: 0.821795
Test 92, loss: 0.904267, test acc: 0.875000, test avg acc: 0.866667
Train 93, loss: 0.928769, train acc: 0.826923, train avg acc: 0.833994
Test 93, loss: 0.912306, test acc: 0.850000, test avg acc: 0.841667
Train 94, loss: 0.939950, train acc: 0.820513, train avg acc: 0.820563
Test 94, loss: 0.918414, test acc: 0.825000, test avg acc: 0.816667
Train 95, loss: 0.929134, train acc: 0.807692, train avg acc: 0.812974
Test 95, loss: 0.911889, test acc: 0.850000, test avg acc: 0.841667
Train 96, loss: 0.925600, train acc: 0.782051, train avg acc: 0.784615
Test 96, loss: 0.918485, test acc: 0.850000, test avg acc: 0.844444
Train 97, loss: 0.943809, train acc: 0.833333, train avg acc: 0.834615
Test 97, loss: 0.920931, test acc: 0.850000, test avg acc: 0.844444
Train 98, loss: 0.928113, train acc: 0.807692, train avg acc: 0.804217
Test 98, loss: 0.919395, test acc: 0.825000, test avg acc: 0.816667
Train 99, loss: 0.940843, train acc: 0.820513, train avg acc: 0.825516
Test 99, loss: 0.906838, test acc: 0.850000, test avg acc: 0.841667
Train 100, loss: 0.947733, train acc: 0.801282, train avg acc: 0.802876
Test 100, loss: 0.900842, test acc: 0.850000, test avg acc: 0.841667
Train 101, loss: 0.921512, train acc: 0.826923, train avg acc: 0.831996
Test 101, loss: 0.902525, test acc: 0.825000, test avg acc: 0.813889
Train 102, loss: 0.938770, train acc: 0.807692, train avg acc: 0.812500
Test 102, loss: 0.903582, test acc: 0.800000, test avg acc: 0.788889
Train 103, loss: 0.936754, train acc: 0.788462, train avg acc: 0.793750
Test 103, loss: 0.910043, test acc: 0.825000, test avg acc: 0.816667
Train 104, loss: 0.917580, train acc: 0.820513, train avg acc: 0.824857
Test 104, loss: 0.908509, test acc: 0.850000, test avg acc: 0.841667
Train 105, loss: 0.936619, train acc: 0.794872, train avg acc: 0.795074
Test 105, loss: 0.914452, test acc: 0.825000, test avg acc: 0.816667
Train 106, loss: 0.923084, train acc: 0.833333, train avg acc: 0.837500
Test 106, loss: 0.904299, test acc: 0.875000, test avg acc: 0.866667
Train 107, loss: 0.927676, train acc: 0.839744, train avg acc: 0.842308
Test 107, loss: 0.906473, test acc: 0.850000, test avg acc: 0.838889
