K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Train 59, loss: 0.969784, train acc: 0.793333, train avg acc: 0.796812
Test 59, loss: 0.925714, test acc: 0.825000, test avg acc: 0.811111
Train 60, loss: 0.992344, train acc: 0.766667, train avg acc: 0.775542
Test 60, loss: 0.913823, test acc: 0.825000, test avg acc: 0.816667
Train 61, loss: 0.946635, train acc: 0.846667, train avg acc: 0.848684
Test 61, loss: 0.898788, test acc: 0.850000, test avg acc: 0.841667
Train 62, loss: 0.976048, train acc: 0.780000, train avg acc: 0.780228
Test 62, loss: 0.893394, test acc: 0.825000, test avg acc: 0.813889
Train 63, loss: 0.967534, train acc: 0.793333, train avg acc: 0.793030
Test 63, loss: 0.933228, test acc: 0.825000, test avg acc: 0.811111
Train 64, loss: 0.962699, train acc: 0.800000, train avg acc: 0.799609
Test 64, loss: 0.907359, test acc: 0.825000, test avg acc: 0.811111
Train 65, loss: 0.985832, train acc: 0.833333, train avg acc: 0.829467
Test 65, loss: 0.926158, test acc: 0.825000, test avg acc: 0.813889
Train 66, loss: 1.013868, train acc: 0.826667, train avg acc: 0.826389
Test 66, loss: 0.907754, test acc: 0.850000, test avg acc: 0.844444
Train 67, loss: 0.972879, train acc: 0.806667, train avg acc: 0.810135
Test 67, loss: 0.895383, test acc: 0.825000, test avg acc: 0.811111
Train 68, loss: 0.963994, train acc: 0.793333, train avg acc: 0.794612
Test 68, loss: 0.917548, test acc: 0.825000, test avg acc: 0.811111
Train 69, loss: 0.945937, train acc: 0.813333, train avg acc: 0.813834
Test 69, loss: 0.909350, test acc: 0.825000, test avg acc: 0.811111
Train 70, loss: 0.946766, train acc: 0.793333, train avg acc: 0.797471
Test 70, loss: 0.901728, test acc: 0.825000, test avg acc: 0.819444
Train 71, loss: 0.957489, train acc: 0.786667, train avg acc: 0.786975
Test 71, loss: 0.894356, test acc: 0.875000, test avg acc: 0.869444
Train 72, loss: 0.967961, train acc: 0.806667, train avg acc: 0.806356
Test 72, loss: 0.896061, test acc: 0.850000, test avg acc: 0.844444
Train 73, loss: 0.957689, train acc: 0.826667, train avg acc: 0.824502
Test 73, loss: 0.894926, test acc: 0.875000, test avg acc: 0.866667
Train 74, loss: 0.906535, train acc: 0.840000, train avg acc: 0.842105
Test 74, loss: 0.896296, test acc: 0.875000, test avg acc: 0.866667
Train 75, loss: 0.965743, train acc: 0.793333, train avg acc: 0.793741
Test 75, loss: 0.898732, test acc: 0.875000, test avg acc: 0.866667
Train 76, loss: 0.969636, train acc: 0.753333, train avg acc: 0.759615
Test 76, loss: 0.902590, test acc: 0.850000, test avg acc: 0.838889
Train 77, loss: 0.941221, train acc: 0.800000, train avg acc: 0.802454
Test 77, loss: 0.906170, test acc: 0.825000, test avg acc: 0.811111
Train 78, loss: 0.948421, train acc: 0.806667, train avg acc: 0.816346
Test 78, loss: 0.903982, test acc: 0.825000, test avg acc: 0.811111
Train 79, loss: 0.928228, train acc: 0.840000, train avg acc: 0.839784
Test 79, loss: 0.904653, test acc: 0.800000, test avg acc: 0.788889
Train 80, loss: 0.949968, train acc: 0.800000, train avg acc: 0.801802
Test 80, loss: 0.896850, test acc: 0.850000, test avg acc: 0.841667
Train 81, loss: 0.968864, train acc: 0.826667, train avg acc: 0.830794
Test 81, loss: 0.881470, test acc: 0.850000, test avg acc: 0.841667
Train 82, loss: 0.962845, train acc: 0.800000, train avg acc: 0.807245
Test 82, loss: 0.902541, test acc: 0.825000, test avg acc: 0.811111
Train 83, loss: 0.929937, train acc: 0.813333, train avg acc: 0.818657
Test 83, loss: 0.906127, test acc: 0.850000, test avg acc: 0.841667
Train 84, loss: 0.972424, train acc: 0.793333, train avg acc: 0.796431
Test 84, loss: 0.907834, test acc: 0.875000, test avg acc: 0.869444
Train 85, loss: 0.954078, train acc: 0.826667, train avg acc: 0.828136
Test 85, loss: 0.896666, test acc: 0.825000, test avg acc: 0.813889
Train 86, loss: 0.955670, train acc: 0.813333, train avg acc: 0.813596
Test 86, loss: 0.928980, test acc: 0.850000, test avg acc: 0.838889
Train 87, loss: 0.970186, train acc: 0.786667, train avg acc: 0.797436
Test 87, loss: 0.917301, test acc: 0.800000, test avg acc: 0.791667
Train 88, loss: 0.953331, train acc: 0.826667, train avg acc: 0.829116
Test 88, loss: 0.900910, test acc: 0.825000, test avg acc: 0.816667
Train 89, loss: 0.930656, train acc: 0.853333, train avg acc: 0.853129
Test 89, loss: 0.890257, test acc: 0.850000, test avg acc: 0.841667
Train 90, loss: 0.952355, train acc: 0.786667, train avg acc: 0.795875
Test 90, loss: 0.888626, test acc: 0.850000, test avg acc: 0.841667
Train 91, loss: 0.925101, train acc: 0.793333, train avg acc: 0.799764
Test 91, loss: 0.896338, test acc: 0.850000, test avg acc: 0.838889
Train 92, loss: 0.934616, train acc: 0.813333, train avg acc: 0.811038
Test 92, loss: 0.905041, test acc: 0.800000, test avg acc: 0.791667
Train 93, loss: 0.925253, train acc: 0.826667, train avg acc: 0.835417
Test 93, loss: 0.903720, test acc: 0.825000, test avg acc: 0.816667
Train 94, loss: 0.926832, train acc: 0.826667, train avg acc: 0.827457
Test 94, loss: 0.910036, test acc: 0.850000, test avg acc: 0.841667
Train 95, loss: 0.947449, train acc: 0.786667, train avg acc: 0.786095
Test 95, loss: 0.901931, test acc: 0.825000, test avg acc: 0.816667
Train 96, loss: 0.919075, train acc: 0.820000, train avg acc: 0.824561
Test 96, loss: 0.910476, test acc: 0.825000, test avg acc: 0.816667
Train 97, loss: 0.934749, train acc: 0.826667, train avg acc: 0.829690
Test 97, loss: 0.906124, test acc: 0.825000, test avg acc: 0.816667
Train 98, loss: 0.907527, train acc: 0.846667, train avg acc: 0.839015
Test 98, loss: 0.906553, test acc: 0.825000, test avg acc: 0.816667
Train 99, loss: 0.908258, train acc: 0.846667, train avg acc: 0.847222
Test 99, loss: 0.899424, test acc: 0.850000, test avg acc: 0.844444
Train 100, loss: 0.932537, train acc: 0.806667, train avg acc: 0.811572
Test 100, loss: 0.904009, test acc: 0.825000, test avg acc: 0.813889
Train 101, loss: 0.920055, train acc: 0.833333, train avg acc: 0.833699
Test 101, loss: 0.910378, test acc: 0.825000, test avg acc: 0.819444
Train 102, loss: 0.913344, train acc: 0.840000, train avg acc: 0.850000
Test 102, loss: 0.910760, test acc: 0.825000, test avg acc: 0.819444
Train 103, loss: 0.910369, train acc: 0.860000, train avg acc: 0.860597
Test 103, loss: 0.902199, test acc: 0.800000, test avg acc: 0.791667
Train 104, loss: 0.924560, train acc: 0.813333, train avg acc: 0.820513
Test 104, loss: 0.903137, test acc: 0.850000, test avg acc: 0.838889
Train 105, loss: 0.920926, train acc: 0.860000, train avg acc: 0.866216
Test 105, loss: 0.904685, test acc: 0.800000, test avg acc: 0.788889
Train 106, loss: 0.909977, train acc: 0.860000, train avg acc: 0.865385
Test 106, loss: 0.912159, test acc: 0.800000, test avg acc: 0.791667
Train 107, loss: 0.928382, train acc: 0.833333, train avg acc: 0.835526
Test 107, loss: 0.910451, test acc: 0.800000, test avg acc: 0.791667
Train 108, loss: 0.954473, train acc: 0.820000, train avg acc: 0.822191
Test 108, loss: 0.900671, test acc: 0.825000, test avg acc: 0.816667
Train 109, loss: 0.929359, train acc: 0.846667, train avg acc: 0.845484
Test 109, loss: 0.900875, test acc: 0.825000, test avg acc: 0.811111
Train 110, loss: 0.929656, train acc: 0.833333, train avg acc: 0.831081
Test 110, loss: 0.897570, test acc: 0.850000, test avg acc: 0.841667
Train 111, loss: 0.902094, train acc: 0.840000, train avg acc: 0.844298
Test 111, loss: 0.900730, test acc: 0.825000, test avg acc: 0.819444
Train 112, loss: 0.918648, train acc: 0.840000, train avg acc: 0.844130
Test 112, loss: 0.898978, test acc: 0.850000, test avg acc: 0.838889
Train 113, loss: 0.917739, train acc: 0.820000, train avg acc: 0.819810
Test 113, loss: 0.900773, test acc: 0.850000, test avg acc: 0.838889
Train 114, loss: 0.915476, train acc: 0.866667, train avg acc: 0.865300
Test 114, loss: 0.902629, test acc: 0.850000, test avg acc: 0.838889
Train 115, loss: 0.893462, train acc: 0.853333, train avg acc: 0.855556
Test 115, loss: 0.892731, test acc: 0.850000, test avg acc: 0.841667
Train 116, loss: 0.907610, train acc: 0.853333, train avg acc: 0.854816
Test 116, loss: 0.891124, test acc: 0.875000, test avg acc: 0.869444
Train 117, loss: 0.920497, train acc: 0.820000, train avg acc: 0.821047
Test 117, loss: 0.896103, test acc: 0.850000, test avg acc: 0.841667
Train 118, loss: 0.904804, train acc: 0.866667, train avg acc: 0.867176
Test 118, loss: 0.897097, test acc: 0.825000, test avg acc: 0.813889
Train 119, loss: 0.909173, train acc: 0.853333, train avg acc: 0.858953
Test 119, loss: 0.892089, test acc: 0.875000, test avg acc: 0.869444
Train 120, loss: 0.874465, train acc: 0.913333, train avg acc: 0.915317
Test 120, loss: 0.891863, test acc: 0.875000, test avg acc: 0.869444
Train 121, loss: 0.886611, train acc: 0.873333, train avg acc: 0.877961
Test 121, loss: 0.906516, test acc: 0.850000, test avg acc: 0.844444
Train 122, loss: 0.902019, train acc: 0.846667, train avg acc: 0.846906
Test 122, loss: 0.907828, test acc: 0.825000, test avg acc: 0.819444
Train 123, loss: 0.918849, train acc: 0.853333, train avg acc: 0.858224
Test 123, loss: 0.892715, test acc: 0.850000, test avg acc: 0.844444
Train 124, loss: 0.898842, train acc: 0.873333, train avg acc: 0.875780
Test 124, loss: 0.903911, test acc: 0.850000, test avg acc: 0.838889
Train 125, loss: 0.892518, train acc: 0.860000, train avg acc: 0.863999
Test 125, loss: 0.912874, test acc: 0.825000, test avg acc: 0.811111
Train 126, loss: 0.906372, train acc: 0.853333, train avg acc: 0.855405
