K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Test 107, loss: 1.057632, test acc: 0.650000, test avg acc: 0.633333
Train 108, loss: 1.114579, train acc: 0.633333, train avg acc: 0.635135
Test 108, loss: 1.045596, test acc: 0.725000, test avg acc: 0.705556
Train 109, loss: 1.127661, train acc: 0.640000, train avg acc: 0.643842
Test 109, loss: 1.089235, test acc: 0.625000, test avg acc: 0.605556
Train 110, loss: 1.125039, train acc: 0.646667, train avg acc: 0.658130
Test 110, loss: 1.064089, test acc: 0.650000, test avg acc: 0.627778
Train 111, loss: 1.086596, train acc: 0.660000, train avg acc: 0.657280
Test 111, loss: 1.084779, test acc: 0.675000, test avg acc: 0.658333
Train 112, loss: 1.072729, train acc: 0.686667, train avg acc: 0.685373
Test 112, loss: 1.049840, test acc: 0.700000, test avg acc: 0.675000
Train 113, loss: 1.138861, train acc: 0.600000, train avg acc: 0.599573
Test 113, loss: 1.041824, test acc: 0.700000, test avg acc: 0.677778
Train 114, loss: 1.084395, train acc: 0.673333, train avg acc: 0.682315
Test 114, loss: 1.068609, test acc: 0.675000, test avg acc: 0.658333
Train 115, loss: 1.119543, train acc: 0.633333, train avg acc: 0.640229
Test 115, loss: 1.046702, test acc: 0.750000, test avg acc: 0.727778
Train 116, loss: 1.089580, train acc: 0.620000, train avg acc: 0.621622
Test 116, loss: 1.035297, test acc: 0.750000, test avg acc: 0.725000
Train 117, loss: 1.118162, train acc: 0.660000, train avg acc: 0.663465
Test 117, loss: 1.064327, test acc: 0.675000, test avg acc: 0.650000
Train 118, loss: 1.078806, train acc: 0.640000, train avg acc: 0.646155
Test 118, loss: 1.059631, test acc: 0.600000, test avg acc: 0.577778
Train 119, loss: 1.076154, train acc: 0.686667, train avg acc: 0.692308
Test 119, loss: 1.074496, test acc: 0.625000, test avg acc: 0.602778
Train 120, loss: 1.165064, train acc: 0.586667, train avg acc: 0.588011
Test 120, loss: 1.121918, test acc: 0.600000, test avg acc: 0.582323
Train 121, loss: 1.116667, train acc: 0.626667, train avg acc: 0.626802
Test 121, loss: 1.034631, test acc: 0.600000, test avg acc: 0.580556
Train 122, loss: 1.076589, train acc: 0.700000, train avg acc: 0.707406
Test 122, loss: 1.070995, test acc: 0.575000, test avg acc: 0.555556
Train 123, loss: 1.124067, train acc: 0.660000, train avg acc: 0.658991
Test 123, loss: 1.051947, test acc: 0.650000, test avg acc: 0.627778
Train 124, loss: 1.087838, train acc: 0.693333, train avg acc: 0.700931
Test 124, loss: 1.027958, test acc: 0.675000, test avg acc: 0.658333
Train 125, loss: 1.074430, train acc: 0.633333, train avg acc: 0.631401
Test 125, loss: 1.059429, test acc: 0.725000, test avg acc: 0.708333
Train 126, loss: 1.064203, train acc: 0.693333, train avg acc: 0.695080
Test 126, loss: 1.037741, test acc: 0.650000, test avg acc: 0.625000
Train 127, loss: 1.070233, train acc: 0.693333, train avg acc: 0.697087
Test 127, loss: 1.052544, test acc: 0.675000, test avg acc: 0.650000
Train 128, loss: 1.105443, train acc: 0.633333, train avg acc: 0.636818
Test 128, loss: 1.037551, test acc: 0.575000, test avg acc: 0.552778
Train 129, loss: 1.120424, train acc: 0.640000, train avg acc: 0.639611
Test 129, loss: 1.040540, test acc: 0.650000, test avg acc: 0.638889
Train 130, loss: 1.087848, train acc: 0.646667, train avg acc: 0.653886
Test 130, loss: 1.023427, test acc: 0.650000, test avg acc: 0.630556
Train 131, loss: 1.080107, train acc: 0.653333, train avg acc: 0.661232
Test 131, loss: 1.073357, test acc: 0.650000, test avg acc: 0.635101
Train 132, loss: 1.044440, train acc: 0.693333, train avg acc: 0.697156
Test 132, loss: 1.040649, test acc: 0.725000, test avg acc: 0.707828
Train 133, loss: 1.118247, train acc: 0.626667, train avg acc: 0.631200
Test 133, loss: 1.036337, test acc: 0.675000, test avg acc: 0.650000
Train 134, loss: 1.044641, train acc: 0.733333, train avg acc: 0.739665
Test 134, loss: 1.045425, test acc: 0.675000, test avg acc: 0.658333
Train 135, loss: 1.054319, train acc: 0.673333, train avg acc: 0.672904
Test 135, loss: 1.040368, test acc: 0.675000, test avg acc: 0.658333
Train 136, loss: 1.067694, train acc: 0.653333, train avg acc: 0.653034
Test 136, loss: 1.053720, test acc: 0.700000, test avg acc: 0.686111
Train 137, loss: 1.076101, train acc: 0.700000, train avg acc: 0.700649
Test 137, loss: 1.033884, test acc: 0.675000, test avg acc: 0.650000
Train 138, loss: 1.077828, train acc: 0.686667, train avg acc: 0.688615
Test 138, loss: 1.046882, test acc: 0.700000, test avg acc: 0.677778
Train 139, loss: 1.087348, train acc: 0.706667, train avg acc: 0.715421
Test 139, loss: 1.088550, test acc: 0.675000, test avg acc: 0.650000
Train 140, loss: 1.071146, train acc: 0.680000, train avg acc: 0.690956
Test 140, loss: 1.075958, test acc: 0.650000, test avg acc: 0.625000
Train 141, loss: 1.061114, train acc: 0.660000, train avg acc: 0.661989
Test 141, loss: 1.041344, test acc: 0.675000, test avg acc: 0.652778
Train 142, loss: 1.038238, train acc: 0.740000, train avg acc: 0.739677
Test 142, loss: 1.043767, test acc: 0.675000, test avg acc: 0.652778
Train 143, loss: 1.038497, train acc: 0.726667, train avg acc: 0.727648
Test 143, loss: 1.014732, test acc: 0.650000, test avg acc: 0.627778
Train 144, loss: 1.052055, train acc: 0.706667, train avg acc: 0.711365
Test 144, loss: 1.038417, test acc: 0.700000, test avg acc: 0.683333
Train 145, loss: 1.054422, train acc: 0.640000, train avg acc: 0.639452
Test 145, loss: 1.018424, test acc: 0.675000, test avg acc: 0.663889
Train 146, loss: 1.105948, train acc: 0.713333, train avg acc: 0.715634
Test 146, loss: 1.008048, test acc: 0.700000, test avg acc: 0.683333
Train 147, loss: 1.061918, train acc: 0.733333, train avg acc: 0.738958
Test 147, loss: 1.031844, test acc: 0.650000, test avg acc: 0.630556
Train 148, loss: 1.088476, train acc: 0.680000, train avg acc: 0.677454
Test 148, loss: 0.999155, test acc: 0.750000, test avg acc: 0.727778
Train 149, loss: 1.057939, train acc: 0.700000, train avg acc: 0.702388
Test 149, loss: 1.021792, test acc: 0.775000, test avg acc: 0.752778
Train 150, loss: 1.043706, train acc: 0.760000, train avg acc: 0.763833
Test 150, loss: 1.023574, test acc: 0.725000, test avg acc: 0.705556
Train 151, loss: 1.039753, train acc: 0.733333, train avg acc: 0.733286
Test 151, loss: 1.011733, test acc: 0.750000, test avg acc: 0.730556
Train 152, loss: 1.049442, train acc: 0.686667, train avg acc: 0.695688
Test 152, loss: 1.022204, test acc: 0.725000, test avg acc: 0.705556
Train 153, loss: 1.033228, train acc: 0.706667, train avg acc: 0.712143
Test 153, loss: 1.018023, test acc: 0.675000, test avg acc: 0.655556
Train 154, loss: 1.047209, train acc: 0.733333, train avg acc: 0.735623
Test 154, loss: 1.060762, test acc: 0.700000, test avg acc: 0.677778
Train 155, loss: 1.012055, train acc: 0.726667, train avg acc: 0.730263
Test 155, loss: 1.043713, test acc: 0.700000, test avg acc: 0.677778
Train 156, loss: 1.018300, train acc: 0.713333, train avg acc: 0.717605
Test 156, loss: 1.006707, test acc: 0.700000, test avg acc: 0.675000
Train 157, loss: 1.034304, train acc: 0.706667, train avg acc: 0.714074
Test 157, loss: 1.006180, test acc: 0.700000, test avg acc: 0.677778
Train 158, loss: 1.027121, train acc: 0.706667, train avg acc: 0.713731
Test 158, loss: 1.020867, test acc: 0.675000, test avg acc: 0.650000
Train 159, loss: 1.024113, train acc: 0.786667, train avg acc: 0.787518
Test 159, loss: 1.021696, test acc: 0.700000, test avg acc: 0.675000
Train 160, loss: 1.024875, train acc: 0.746667, train avg acc: 0.746298
Test 160, loss: 0.996562, test acc: 0.675000, test avg acc: 0.652778
Train 161, loss: 1.028113, train acc: 0.646667, train avg acc: 0.655921
Test 161, loss: 1.011902, test acc: 0.675000, test avg acc: 0.652778
Train 162, loss: 1.033894, train acc: 0.753333, train avg acc: 0.756235
Test 162, loss: 1.027262, test acc: 0.650000, test avg acc: 0.625000
Train 163, loss: 1.030996, train acc: 0.746667, train avg acc: 0.745589
Test 163, loss: 1.016110, test acc: 0.700000, test avg acc: 0.677778
Train 164, loss: 1.032339, train acc: 0.746667, train avg acc: 0.748173
Test 164, loss: 1.010058, test acc: 0.700000, test avg acc: 0.680556
Train 165, loss: 0.991659, train acc: 0.766667, train avg acc: 0.768570
Test 165, loss: 1.021502, test acc: 0.700000, test avg acc: 0.680556
