K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet_norm
Test 114, loss: 0.916199, test acc: 0.750000, test avg acc: 0.741667
Train 115, loss: 0.870700, train acc: 0.886667, train avg acc: 0.881192
Test 115, loss: 0.912634, test acc: 0.800000, test avg acc: 0.786111
Train 116, loss: 0.867923, train acc: 0.893333, train avg acc: 0.895439
Test 116, loss: 0.910477, test acc: 0.800000, test avg acc: 0.786111
Train 117, loss: 0.882216, train acc: 0.880000, train avg acc: 0.882190
Test 117, loss: 0.916830, test acc: 0.750000, test avg acc: 0.736111
Train 118, loss: 0.874738, train acc: 0.880000, train avg acc: 0.886378
Test 118, loss: 0.922837, test acc: 0.725000, test avg acc: 0.716667
Train 119, loss: 0.870410, train acc: 0.893333, train avg acc: 0.894737
Test 119, loss: 0.934885, test acc: 0.750000, test avg acc: 0.744444
Train 120, loss: 0.870363, train acc: 0.880000, train avg acc: 0.884615
Test 120, loss: 0.933374, test acc: 0.750000, test avg acc: 0.744444
Train 121, loss: 0.878405, train acc: 0.860000, train avg acc: 0.863682
Test 121, loss: 0.930326, test acc: 0.775000, test avg acc: 0.769444
Train 122, loss: 0.881030, train acc: 0.860000, train avg acc: 0.859708
Test 122, loss: 0.926414, test acc: 0.750000, test avg acc: 0.741667
Train 123, loss: 0.868257, train acc: 0.860000, train avg acc: 0.866447
Test 123, loss: 0.923876, test acc: 0.775000, test avg acc: 0.766667
Train 124, loss: 0.896972, train acc: 0.833333, train avg acc: 0.837382
Test 124, loss: 0.923014, test acc: 0.750000, test avg acc: 0.736111
Train 125, loss: 0.873476, train acc: 0.873333, train avg acc: 0.872917
Test 125, loss: 0.921824, test acc: 0.725000, test avg acc: 0.711111
Train 126, loss: 0.874106, train acc: 0.866667, train avg acc: 0.865754
Test 126, loss: 0.920143, test acc: 0.800000, test avg acc: 0.786111
Train 127, loss: 0.882376, train acc: 0.913333, train avg acc: 0.915148
Test 127, loss: 0.919666, test acc: 0.800000, test avg acc: 0.786111
Train 128, loss: 0.869493, train acc: 0.906667, train avg acc: 0.911997
Test 128, loss: 0.923642, test acc: 0.775000, test avg acc: 0.766667
Train 129, loss: 0.887848, train acc: 0.880000, train avg acc: 0.884970
Test 129, loss: 0.941123, test acc: 0.725000, test avg acc: 0.716667
Train 130, loss: 0.887299, train acc: 0.846667, train avg acc: 0.849593
Test 130, loss: 0.943863, test acc: 0.750000, test avg acc: 0.744444
Train 131, loss: 0.867059, train acc: 0.873333, train avg acc: 0.870726
Test 131, loss: 0.942563, test acc: 0.725000, test avg acc: 0.716667
Train 132, loss: 0.877190, train acc: 0.833333, train avg acc: 0.837045
Test 132, loss: 0.928220, test acc: 0.775000, test avg acc: 0.763889
Train 133, loss: 0.899473, train acc: 0.860000, train avg acc: 0.863194
Test 133, loss: 0.927351, test acc: 0.775000, test avg acc: 0.758333
Train 134, loss: 0.876066, train acc: 0.886667, train avg acc: 0.887091
Test 134, loss: 0.927209, test acc: 0.750000, test avg acc: 0.736111
Train 135, loss: 0.871135, train acc: 0.873333, train avg acc: 0.867216
Test 135, loss: 0.917649, test acc: 0.750000, test avg acc: 0.733333
Train 136, loss: 0.863326, train acc: 0.880000, train avg acc: 0.880952
Test 136, loss: 0.919809, test acc: 0.750000, test avg acc: 0.738889
Train 137, loss: 0.871875, train acc: 0.873333, train avg acc: 0.878218
Test 137, loss: 0.927279, test acc: 0.750000, test avg acc: 0.738889
Train 138, loss: 0.854892, train acc: 0.893333, train avg acc: 0.892308
Test 138, loss: 0.937206, test acc: 0.750000, test avg acc: 0.741667
Train 139, loss: 0.876976, train acc: 0.880000, train avg acc: 0.880804
Test 139, loss: 0.929465, test acc: 0.750000, test avg acc: 0.738889
Train 140, loss: 0.855550, train acc: 0.893333, train avg acc: 0.894444
Test 140, loss: 0.933186, test acc: 0.750000, test avg acc: 0.741667
Train 141, loss: 0.851575, train acc: 0.893333, train avg acc: 0.893314
Test 141, loss: 0.925282, test acc: 0.775000, test avg acc: 0.766667
Train 142, loss: 0.868752, train acc: 0.866667, train avg acc: 0.868421
Test 142, loss: 0.926433, test acc: 0.750000, test avg acc: 0.741667
Train 143, loss: 0.856416, train acc: 0.906667, train avg acc: 0.910256
Test 143, loss: 0.934323, test acc: 0.700000, test avg acc: 0.688889
Train 144, loss: 0.895508, train acc: 0.860000, train avg acc: 0.864035
Test 144, loss: 0.939778, test acc: 0.700000, test avg acc: 0.688889
Train 145, loss: 0.861719, train acc: 0.886667, train avg acc: 0.888158
Test 145, loss: 0.929778, test acc: 0.775000, test avg acc: 0.761111
Train 146, loss: 0.862541, train acc: 0.893333, train avg acc: 0.896506
Test 146, loss: 0.922061, test acc: 0.750000, test avg acc: 0.736111
Train 147, loss: 0.852689, train acc: 0.913333, train avg acc: 0.913462
Test 147, loss: 0.925518, test acc: 0.750000, test avg acc: 0.738889
Train 148, loss: 0.875137, train acc: 0.906667, train avg acc: 0.910256
Test 148, loss: 0.933197, test acc: 0.725000, test avg acc: 0.716667
Train 149, loss: 0.876121, train acc: 0.893333, train avg acc: 0.895010
Test 149, loss: 0.932013, test acc: 0.725000, test avg acc: 0.713889
Train 150, loss: 0.875720, train acc: 0.906667, train avg acc: 0.907006
Test 150, loss: 0.932261, test acc: 0.750000, test avg acc: 0.736111
Train 151, loss: 0.892522, train acc: 0.866667, train avg acc: 0.870108
Test 151, loss: 0.939996, test acc: 0.825000, test avg acc: 0.808333
Train 152, loss: 0.876582, train acc: 0.873333, train avg acc: 0.875087
Test 152, loss: 0.933453, test acc: 0.775000, test avg acc: 0.758333
Train 153, loss: 0.871618, train acc: 0.886667, train avg acc: 0.886630
