K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Train 59, loss: 1.326209, train acc: 0.340000, train avg acc: 0.339396
Test 59, loss: 1.315252, test acc: 0.550000, test avg acc: 0.536364
Train 60, loss: 1.298317, train acc: 0.413333, train avg acc: 0.411027
Test 60, loss: 1.291103, test acc: 0.425000, test avg acc: 0.411364
Train 61, loss: 1.331581, train acc: 0.386667, train avg acc: 0.384246
Test 61, loss: 1.287899, test acc: 0.475000, test avg acc: 0.469697
Train 62, loss: 1.289872, train acc: 0.420000, train avg acc: 0.426877
Test 62, loss: 1.313777, test acc: 0.450000, test avg acc: 0.447980
Train 63, loss: 1.323667, train acc: 0.426667, train avg acc: 0.414881
Test 63, loss: 1.330833, test acc: 0.400000, test avg acc: 0.402020
Train 64, loss: 1.320527, train acc: 0.393333, train avg acc: 0.398200
Test 64, loss: 1.296029, test acc: 0.425000, test avg acc: 0.442677
Train 65, loss: 1.330508, train acc: 0.380000, train avg acc: 0.383295
Test 65, loss: 1.526494, test acc: 0.425000, test avg acc: 0.411364
Train 66, loss: 1.318845, train acc: 0.386667, train avg acc: 0.390015
Test 66, loss: 1.322472, test acc: 0.450000, test avg acc: 0.436364
Train 67, loss: 1.278827, train acc: 0.460000, train avg acc: 0.452955
Test 67, loss: 1.275121, test acc: 0.450000, test avg acc: 0.436364
Train 68, loss: 1.313649, train acc: 0.413333, train avg acc: 0.426455
Test 68, loss: 1.300276, test acc: 0.450000, test avg acc: 0.441919
Train 69, loss: 1.264464, train acc: 0.500000, train avg acc: 0.498805
Test 69, loss: 1.319287, test acc: 0.375000, test avg acc: 0.376010
Train 70, loss: 1.275880, train acc: 0.413333, train avg acc: 0.415408
Test 70, loss: 1.307081, test acc: 0.450000, test avg acc: 0.447980
Train 71, loss: 1.286652, train acc: 0.420000, train avg acc: 0.417763
Test 71, loss: 1.261488, test acc: 0.525000, test avg acc: 0.516919
Train 72, loss: 1.258979, train acc: 0.473333, train avg acc: 0.478720
Test 72, loss: 1.280173, test acc: 0.500000, test avg acc: 0.482323
Train 73, loss: 1.291103, train acc: 0.420000, train avg acc: 0.426689
Test 73, loss: 1.316423, test acc: 0.425000, test avg acc: 0.437121
Train 74, loss: 1.279943, train acc: 0.406667, train avg acc: 0.407106
Test 74, loss: 1.271257, test acc: 0.425000, test avg acc: 0.416919
Train 75, loss: 1.289942, train acc: 0.466667, train avg acc: 0.465863
Test 75, loss: 1.283250, test acc: 0.475000, test avg acc: 0.464141
Train 76, loss: 1.285829, train acc: 0.453333, train avg acc: 0.451152
Test 76, loss: 1.265210, test acc: 0.500000, test avg acc: 0.486364
Train 77, loss: 1.309555, train acc: 0.393333, train avg acc: 0.394298
Test 77, loss: 1.264879, test acc: 0.450000, test avg acc: 0.439646
Train 78, loss: 1.358322, train acc: 0.413333, train avg acc: 0.410562
Test 78, loss: 1.265217, test acc: 0.475000, test avg acc: 0.454545
Train 79, loss: 1.325982, train acc: 0.400000, train avg acc: 0.401089
Test 79, loss: 1.244918, test acc: 0.500000, test avg acc: 0.477778
Train 80, loss: 1.252865, train acc: 0.513333, train avg acc: 0.522464
Test 80, loss: 1.230769, test acc: 0.475000, test avg acc: 0.461111
Train 81, loss: 1.289211, train acc: 0.473333, train avg acc: 0.462383
Test 81, loss: 1.236327, test acc: 0.500000, test avg acc: 0.491667
Train 82, loss: 1.273395, train acc: 0.433333, train avg acc: 0.422036
Test 82, loss: 1.256499, test acc: 0.500000, test avg acc: 0.498485
Train 83, loss: 1.278217, train acc: 0.453333, train avg acc: 0.450491
Test 83, loss: 1.242582, test acc: 0.475000, test avg acc: 0.463384
Train 84, loss: 1.221350, train acc: 0.473333, train avg acc: 0.475097
Test 84, loss: 1.231138, test acc: 0.600000, test avg acc: 0.593939
Train 85, loss: 1.236046, train acc: 0.520000, train avg acc: 0.517755
Test 85, loss: 1.209680, test acc: 0.550000, test avg acc: 0.535606
Train 86, loss: 1.314122, train acc: 0.466667, train avg acc: 0.464260
Test 86, loss: 1.225685, test acc: 0.500000, test avg acc: 0.493434
Train 87, loss: 1.207849, train acc: 0.566667, train avg acc: 0.572354
Test 87, loss: 1.187586, test acc: 0.500000, test avg acc: 0.493939
Train 88, loss: 1.256007, train acc: 0.540000, train avg acc: 0.531613
Test 88, loss: 1.225163, test acc: 0.425000, test avg acc: 0.429040
Train 89, loss: 1.240945, train acc: 0.453333, train avg acc: 0.443209
Test 89, loss: 1.241142, test acc: 0.450000, test avg acc: 0.454040
Train 90, loss: 1.246902, train acc: 0.500000, train avg acc: 0.491406
Test 90, loss: 1.228765, test acc: 0.500000, test avg acc: 0.488889
Train 91, loss: 1.230580, train acc: 0.540000, train avg acc: 0.546713
Test 91, loss: 1.226965, test acc: 0.500000, test avg acc: 0.495707
Train 92, loss: 1.238633, train acc: 0.533333, train avg acc: 0.530994
Test 92, loss: 1.187149, test acc: 0.550000, test avg acc: 0.532828
Train 93, loss: 1.199265, train acc: 0.533333, train avg acc: 0.540009
Test 93, loss: 1.240283, test acc: 0.500000, test avg acc: 0.503030
Train 94, loss: 1.213581, train acc: 0.513333, train avg acc: 0.517178
Test 94, loss: 1.175660, test acc: 0.550000, test avg acc: 0.530556
Train 95, loss: 1.221112, train acc: 0.500000, train avg acc: 0.504440
Test 95, loss: 1.232601, test acc: 0.425000, test avg acc: 0.400000
Train 96, loss: 1.234013, train acc: 0.506667, train avg acc: 0.512789
Test 96, loss: 1.167738, test acc: 0.475000, test avg acc: 0.458333
Train 97, loss: 1.192991, train acc: 0.540000, train avg acc: 0.541074
Test 97, loss: 1.272301, test acc: 0.450000, test avg acc: 0.453535
Train 98, loss: 1.227631, train acc: 0.533333, train avg acc: 0.544439
Test 98, loss: 1.277079, test acc: 0.400000, test avg acc: 0.415404
Train 99, loss: 1.262688, train acc: 0.466667, train avg acc: 0.469631
Test 99, loss: 1.185170, test acc: 0.550000, test avg acc: 0.546212
Train 100, loss: 1.219287, train acc: 0.526667, train avg acc: 0.528312
Test 100, loss: 1.197602, test acc: 0.525000, test avg acc: 0.513384
Train 101, loss: 1.245852, train acc: 0.546667, train avg acc: 0.556509
Test 101, loss: 1.217060, test acc: 0.475000, test avg acc: 0.467424
Train 102, loss: 1.208739, train acc: 0.506667, train avg acc: 0.510135
Test 102, loss: 1.220212, test acc: 0.525000, test avg acc: 0.502778
Train 103, loss: 1.225604, train acc: 0.500000, train avg acc: 0.503923
Test 103, loss: 1.179465, test acc: 0.550000, test avg acc: 0.527778
Train 104, loss: 1.224156, train acc: 0.533333, train avg acc: 0.530839
Test 104, loss: 1.152846, test acc: 0.575000, test avg acc: 0.552778
Train 105, loss: 1.207084, train acc: 0.533333, train avg acc: 0.546698
Test 105, loss: 1.133797, test acc: 0.625000, test avg acc: 0.608333
Train 106, loss: 1.197179, train acc: 0.560000, train avg acc: 0.568073
Test 106, loss: 1.212058, test acc: 0.550000, test avg acc: 0.546212
Train 107, loss: 1.193033, train acc: 0.573333, train avg acc: 0.580297
Test 107, loss: 1.214253, test acc: 0.425000, test avg acc: 0.433586
Train 108, loss: 1.207894, train acc: 0.540000, train avg acc: 0.540718
Test 108, loss: 1.226792, test acc: 0.525000, test avg acc: 0.530808
Train 109, loss: 1.188663, train acc: 0.540000, train avg acc: 0.546636
Test 109, loss: 1.222558, test acc: 0.400000, test avg acc: 0.405808
Train 110, loss: 1.209469, train acc: 0.526667, train avg acc: 0.537753
Test 110, loss: 1.131392, test acc: 0.675000, test avg acc: 0.657828
Train 111, loss: 1.172277, train acc: 0.520000, train avg acc: 0.523443
Test 111, loss: 1.141426, test acc: 0.650000, test avg acc: 0.627778
Train 112, loss: 1.196160, train acc: 0.573333, train avg acc: 0.566513
Test 112, loss: 1.183028, test acc: 0.550000, test avg acc: 0.543434
Train 113, loss: 1.213273, train acc: 0.553333, train avg acc: 0.552809
Test 113, loss: 1.129853, test acc: 0.625000, test avg acc: 0.608333
Train 114, loss: 1.182300, train acc: 0.506667, train avg acc: 0.512915
Test 114, loss: 1.154253, test acc: 0.650000, test avg acc: 0.633333
Train 115, loss: 1.175960, train acc: 0.546667, train avg acc: 0.551097
Test 115, loss: 1.126601, test acc: 0.650000, test avg acc: 0.636111
Train 116, loss: 1.212341, train acc: 0.526667, train avg acc: 0.529516
Test 116, loss: 1.117955, test acc: 0.575000, test avg acc: 0.555556
Train 117, loss: 1.196839, train acc: 0.526667, train avg acc: 0.527905
Test 117, loss: 1.114396, test acc: 0.650000, test avg acc: 0.630556
Train 118, loss: 1.154985, train acc: 0.560000, train avg acc: 0.564051
Test 118, loss: 1.099655, test acc: 0.725000, test avg acc: 0.711111
Train 119, loss: 1.174256, train acc: 0.586667, train avg acc: 0.593483
Test 119, loss: 1.104942, test acc: 0.675000, test avg acc: 0.658333
Train 120, loss: 1.173715, train acc: 0.580000, train avg acc: 0.585066
Test 120, loss: 1.098960, test acc: 0.650000, test avg acc: 0.630556
Train 121, loss: 1.146067, train acc: 0.573333, train avg acc: 0.581400
Test 121, loss: 1.096814, test acc: 0.700000, test avg acc: 0.683333
Train 122, loss: 1.130075, train acc: 0.620000, train avg acc: 0.622175
Test 122, loss: 1.119932, test acc: 0.600000, test avg acc: 0.586111
Train 123, loss: 1.197053, train acc: 0.566667, train avg acc: 0.565058
Test 123, loss: 1.111421, test acc: 0.650000, test avg acc: 0.633333
Train 124, loss: 1.147249, train acc: 0.580000, train avg acc: 0.589224
Test 124, loss: 1.111636, test acc: 0.650000, test avg acc: 0.633333
Train 125, loss: 1.185814, train acc: 0.573333, train avg acc: 0.572902
Test 125, loss: 1.105585, test acc: 0.625000, test avg acc: 0.605556
Train 126, loss: 1.128231, train acc: 0.640000, train avg acc: 0.644144
Test 126, loss: 1.103345, test acc: 0.600000, test avg acc: 0.577778
Train 127, loss: 1.150775, train acc: 0.566667, train avg acc: 0.570582
Test 127, loss: 1.089921, test acc: 0.675000, test avg acc: 0.658333
Train 128, loss: 1.134500, train acc: 0.613333, train avg acc: 0.617831
Test 128, loss: 1.077611, test acc: 0.750000, test avg acc: 0.738889
Train 129, loss: 1.189422, train acc: 0.646667, train avg acc: 0.648739
Test 129, loss: 1.084171, test acc: 0.675000, test avg acc: 0.663384
Train 130, loss: 1.157783, train acc: 0.600000, train avg acc: 0.606930
Test 130, loss: 1.153760, test acc: 0.575000, test avg acc: 0.570707
Train 131, loss: 1.171919, train acc: 0.593333, train avg acc: 0.593709
Test 131, loss: 1.084562, test acc: 0.650000, test avg acc: 0.636111
Train 132, loss: 1.170258, train acc: 0.566667, train avg acc: 0.574396
Test 132, loss: 1.095577, test acc: 0.675000, test avg acc: 0.661111
Train 133, loss: 1.133034, train acc: 0.606667, train avg acc: 0.614085
Test 133, loss: 1.088158, test acc: 0.675000, test avg acc: 0.658333
Train 134, loss: 1.131686, train acc: 0.633333, train avg acc: 0.638295
Test 134, loss: 1.059085, test acc: 0.650000, test avg acc: 0.633333
Train 135, loss: 1.114614, train acc: 0.573333, train avg acc: 0.572635
Test 135, loss: 1.090129, test acc: 0.650000, test avg acc: 0.633333
Train 136, loss: 1.139180, train acc: 0.640000, train avg acc: 0.646126
Test 136, loss: 1.057005, test acc: 0.675000, test avg acc: 0.655556
Train 137, loss: 1.094176, train acc: 0.660000, train avg acc: 0.656161
Test 137, loss: 1.057944, test acc: 0.675000, test avg acc: 0.652778
Train 138, loss: 1.105093, train acc: 0.666667, train avg acc: 0.666743
Test 138, loss: 1.054844, test acc: 0.675000, test avg acc: 0.652778
Train 139, loss: 1.138319, train acc: 0.626667, train avg acc: 0.635726
Test 139, loss: 1.113257, test acc: 0.525000, test avg acc: 0.515657
Train 140, loss: 1.114904, train acc: 0.620000, train avg acc: 0.636972
Test 140, loss: 1.045441, test acc: 0.675000, test avg acc: 0.661111
Train 141, loss: 1.128782, train acc: 0.653333, train avg acc: 0.653846
Test 141, loss: 1.034911, test acc: 0.750000, test avg acc: 0.736111
Train 142, loss: 1.091854, train acc: 0.666667, train avg acc: 0.666310
Test 142, loss: 1.033539, test acc: 0.700000, test avg acc: 0.677778
Train 143, loss: 1.114543, train acc: 0.613333, train avg acc: 0.618019
Test 143, loss: 1.049904, test acc: 0.725000, test avg acc: 0.705556
Train 144, loss: 1.124723, train acc: 0.626667, train avg acc: 0.634384
Test 144, loss: 1.056370, test acc: 0.700000, test avg acc: 0.677778
Train 145, loss: 1.089678, train acc: 0.593333, train avg acc: 0.594876
Test 145, loss: 1.043202, test acc: 0.725000, test avg acc: 0.705556
Train 146, loss: 1.127468, train acc: 0.626667, train avg acc: 0.630680
Test 146, loss: 1.044819, test acc: 0.725000, test avg acc: 0.705556
Train 147, loss: 1.109435, train acc: 0.660000, train avg acc: 0.673477
Test 147, loss: 1.059604, test acc: 0.725000, test avg acc: 0.705556
Train 148, loss: 1.120917, train acc: 0.620000, train avg acc: 0.618599
