K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 96, loss: 0.849567, train acc: 0.940000, train avg acc: 0.940068
Test 96, loss: 0.925240, test acc: 0.800000, test avg acc: 0.783333
Train 97, loss: 0.845649, train acc: 0.913333, train avg acc: 0.914296
Test 97, loss: 0.895037, test acc: 0.825000, test avg acc: 0.811111
Train 98, loss: 0.841213, train acc: 0.933333, train avg acc: 0.934717
Test 98, loss: 0.910753, test acc: 0.825000, test avg acc: 0.816667
Train 99, loss: 0.834903, train acc: 0.953333, train avg acc: 0.953236
Test 99, loss: 0.933860, test acc: 0.850000, test avg acc: 0.847222
Train 100, loss: 0.846710, train acc: 0.926667, train avg acc: 0.927846
Test 100, loss: 0.964673, test acc: 0.800000, test avg acc: 0.797222
Train 101, loss: 0.873544, train acc: 0.906667, train avg acc: 0.905983
Test 101, loss: 0.967395, test acc: 0.800000, test avg acc: 0.797222
Train 102, loss: 0.833656, train acc: 0.946667, train avg acc: 0.947775
Test 102, loss: 0.914143, test acc: 0.825000, test avg acc: 0.811111
Train 103, loss: 0.830865, train acc: 0.953333, train avg acc: 0.953216
Test 103, loss: 0.930274, test acc: 0.825000, test avg acc: 0.811111
Train 104, loss: 0.819145, train acc: 0.966667, train avg acc: 0.965977
Test 104, loss: 0.956316, test acc: 0.775000, test avg acc: 0.769444
Train 105, loss: 0.851734, train acc: 0.933333, train avg acc: 0.934295
Test 105, loss: 1.019474, test acc: 0.800000, test avg acc: 0.797222
Train 106, loss: 0.822696, train acc: 0.953333, train avg acc: 0.953529
Test 106, loss: 0.940914, test acc: 0.750000, test avg acc: 0.736111
Train 107, loss: 0.844903, train acc: 0.926667, train avg acc: 0.926022
Test 107, loss: 0.958017, test acc: 0.850000, test avg acc: 0.836111
Train 108, loss: 0.842178, train acc: 0.926667, train avg acc: 0.927062
Test 108, loss: 0.945847, test acc: 0.825000, test avg acc: 0.811111
Train 109, loss: 0.828448, train acc: 0.940000, train avg acc: 0.940789
Test 109, loss: 0.950609, test acc: 0.800000, test avg acc: 0.797222
Train 110, loss: 0.836335, train acc: 0.953333, train avg acc: 0.954223
Test 110, loss: 0.996152, test acc: 0.800000, test avg acc: 0.797222
Train 111, loss: 0.853213, train acc: 0.906667, train avg acc: 0.911538
Test 111, loss: 0.957823, test acc: 0.800000, test avg acc: 0.794444
Train 112, loss: 0.855370, train acc: 0.926667, train avg acc: 0.926659
Test 112, loss: 0.935840, test acc: 0.775000, test avg acc: 0.758333
Train 113, loss: 0.812041, train acc: 0.966667, train avg acc: 0.967105
Test 113, loss: 0.936994, test acc: 0.800000, test avg acc: 0.794444
Train 114, loss: 0.829949, train acc: 0.953333, train avg acc: 0.952703
Test 114, loss: 0.996983, test acc: 0.800000, test avg acc: 0.797222
Train 115, loss: 0.815461, train acc: 0.960000, train avg acc: 0.960677
Test 115, loss: 0.978114, test acc: 0.800000, test avg acc: 0.797222
Train 116, loss: 0.819309, train acc: 0.960000, train avg acc: 0.959599
Test 116, loss: 0.954994, test acc: 0.825000, test avg acc: 0.811111
Train 117, loss: 0.831312, train acc: 0.940000, train avg acc: 0.940565
Test 117, loss: 0.962407, test acc: 0.825000, test avg acc: 0.808333
Train 118, loss: 0.846065, train acc: 0.900000, train avg acc: 0.901316
Test 118, loss: 0.940417, test acc: 0.800000, test avg acc: 0.788889
Train 119, loss: 0.802824, train acc: 0.973333, train avg acc: 0.971815
Test 119, loss: 0.949104, test acc: 0.775000, test avg acc: 0.769444
Train 120, loss: 0.805315, train acc: 0.966667, train avg acc: 0.967780
Test 120, loss: 0.939616, test acc: 0.825000, test avg acc: 0.813889
Train 121, loss: 0.839261, train acc: 0.920000, train avg acc: 0.923026
Test 121, loss: 0.933458, test acc: 0.800000, test avg acc: 0.788889
Train 122, loss: 0.819309, train acc: 0.946667, train avg acc: 0.945571
Test 122, loss: 0.961842, test acc: 0.850000, test avg acc: 0.847222
Train 123, loss: 0.825812, train acc: 0.953333, train avg acc: 0.952851
Test 123, loss: 0.977306, test acc: 0.850000, test avg acc: 0.847222
Train 124, loss: 0.827184, train acc: 0.960000, train avg acc: 0.961201
Test 124, loss: 0.954485, test acc: 0.850000, test avg acc: 0.844444
Train 125, loss: 0.836137, train acc: 0.953333, train avg acc: 0.954089
Test 125, loss: 0.947155, test acc: 0.850000, test avg acc: 0.844444
Train 126, loss: 0.821727, train acc: 0.960000, train avg acc: 0.960845
Test 126, loss: 0.925215, test acc: 0.775000, test avg acc: 0.758333
Train 127, loss: 0.800842, train acc: 0.966667, train avg acc: 0.966216
Test 127, loss: 0.913406, test acc: 0.825000, test avg acc: 0.816667
Train 128, loss: 0.816269, train acc: 0.966667, train avg acc: 0.968109
Test 128, loss: 0.970579, test acc: 0.800000, test avg acc: 0.797222
Train 129, loss: 0.806068, train acc: 0.953333, train avg acc: 0.954167
Test 129, loss: 0.954996, test acc: 0.850000, test avg acc: 0.844444
Train 130, loss: 0.793509, train acc: 0.980000, train avg acc: 0.979354
Test 130, loss: 0.945756, test acc: 0.775000, test avg acc: 0.761111
Train 131, loss: 0.804453, train acc: 0.960000, train avg acc: 0.960171
Test 131, loss: 0.959039, test acc: 0.800000, test avg acc: 0.786111
