K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 dgcnn
Test 150, loss: 0.934236, test acc: 0.775000, test avg acc: 0.763889
Train 151, loss: 0.919404, train acc: 0.853333, train avg acc: 0.854282
Test 151, loss: 0.918511, test acc: 0.775000, test avg acc: 0.766667
Train 152, loss: 0.925997, train acc: 0.833333, train avg acc: 0.837551
Test 152, loss: 0.918168, test acc: 0.825000, test avg acc: 0.813889
Train 153, loss: 0.929765, train acc: 0.833333, train avg acc: 0.833393
Test 153, loss: 0.926413, test acc: 0.875000, test avg acc: 0.866667
Train 154, loss: 0.926972, train acc: 0.846667, train avg acc: 0.846550
Test 154, loss: 0.917885, test acc: 0.800000, test avg acc: 0.786111
Train 155, loss: 0.933455, train acc: 0.840000, train avg acc: 0.840149
Test 155, loss: 0.915470, test acc: 0.825000, test avg acc: 0.816667
Train 156, loss: 0.922279, train acc: 0.826667, train avg acc: 0.826923
Test 156, loss: 0.908407, test acc: 0.775000, test avg acc: 0.761111
Train 157, loss: 0.900242, train acc: 0.853333, train avg acc: 0.851243
Test 157, loss: 0.937016, test acc: 0.775000, test avg acc: 0.758333
Train 158, loss: 0.930104, train acc: 0.826667, train avg acc: 0.829175
Test 158, loss: 0.927647, test acc: 0.800000, test avg acc: 0.788889
Train 159, loss: 0.917777, train acc: 0.886667, train avg acc: 0.883634
Test 159, loss: 0.898872, test acc: 0.825000, test avg acc: 0.816667
Train 160, loss: 0.908313, train acc: 0.826667, train avg acc: 0.830972
Test 160, loss: 0.908362, test acc: 0.825000, test avg acc: 0.813889
Train 161, loss: 0.902342, train acc: 0.846667, train avg acc: 0.845620
Test 161, loss: 0.914895, test acc: 0.825000, test avg acc: 0.813889
Train 162, loss: 0.907423, train acc: 0.880000, train avg acc: 0.881579
Test 162, loss: 0.919728, test acc: 0.825000, test avg acc: 0.813889
Train 163, loss: 0.961342, train acc: 0.786667, train avg acc: 0.793278
Test 163, loss: 0.923546, test acc: 0.825000, test avg acc: 0.819444
Train 164, loss: 0.937439, train acc: 0.806667, train avg acc: 0.806899
Test 164, loss: 0.910814, test acc: 0.800000, test avg acc: 0.791667
Train 165, loss: 0.905943, train acc: 0.893333, train avg acc: 0.890226
Test 165, loss: 0.911620, test acc: 0.825000, test avg acc: 0.813889
Train 166, loss: 0.933426, train acc: 0.846667, train avg acc: 0.853594
Test 166, loss: 0.920611, test acc: 0.800000, test avg acc: 0.794444
Train 167, loss: 0.908816, train acc: 0.880000, train avg acc: 0.879898
Test 167, loss: 0.909839, test acc: 0.825000, test avg acc: 0.822222
Train 168, loss: 0.893782, train acc: 0.873333, train avg acc: 0.876012
Test 168, loss: 0.913253, test acc: 0.775000, test avg acc: 0.769444
Train 169, loss: 0.899557, train acc: 0.873333, train avg acc: 0.875676
Test 169, loss: 0.909370, test acc: 0.800000, test avg acc: 0.794444
Train 170, loss: 0.922059, train acc: 0.846667, train avg acc: 0.848753
Test 170, loss: 0.897849, test acc: 0.825000, test avg acc: 0.819444
Train 171, loss: 0.891784, train acc: 0.873333, train avg acc: 0.876687
Test 171, loss: 0.893985, test acc: 0.875000, test avg acc: 0.869444
Train 172, loss: 0.891038, train acc: 0.886667, train avg acc: 0.891026
Test 172, loss: 0.900176, test acc: 0.875000, test avg acc: 0.866667
Train 173, loss: 0.896614, train acc: 0.920000, train avg acc: 0.920944
Test 173, loss: 0.908536, test acc: 0.850000, test avg acc: 0.838889
Train 174, loss: 0.896988, train acc: 0.866667, train avg acc: 0.868676
Test 174, loss: 0.910612, test acc: 0.875000, test avg acc: 0.866667
Train 175, loss: 0.921803, train acc: 0.853333, train avg acc: 0.848902
Test 175, loss: 0.889796, test acc: 0.850000, test avg acc: 0.841667
Train 176, loss: 0.902591, train acc: 0.833333, train avg acc: 0.831259
Test 176, loss: 0.890491, test acc: 0.850000, test avg acc: 0.838889
Train 177, loss: 0.875812, train acc: 0.893333, train avg acc: 0.893492
Test 177, loss: 0.927774, test acc: 0.800000, test avg acc: 0.786111
Train 178, loss: 0.900016, train acc: 0.873333, train avg acc: 0.875000
Test 178, loss: 0.932521, test acc: 0.825000, test avg acc: 0.813889
Train 179, loss: 0.901519, train acc: 0.866667, train avg acc: 0.862218
Test 179, loss: 0.896124, test acc: 0.875000, test avg acc: 0.869444
Train 180, loss: 0.910694, train acc: 0.860000, train avg acc: 0.863866
Test 180, loss: 0.911715, test acc: 0.850000, test avg acc: 0.844444
Train 181, loss: 0.899883, train acc: 0.900000, train avg acc: 0.901794
Test 181, loss: 0.881305, test acc: 0.875000, test avg acc: 0.869444
Train 182, loss: 0.896606, train acc: 0.886667, train avg acc: 0.888158
Test 182, loss: 0.912762, test acc: 0.800000, test avg acc: 0.791667
Train 183, loss: 0.899768, train acc: 0.880000, train avg acc: 0.870313
Test 183, loss: 0.910936, test acc: 0.800000, test avg acc: 0.794444
Train 184, loss: 0.897798, train acc: 0.893333, train avg acc: 0.898026
Test 184, loss: 0.896609, test acc: 0.825000, test avg acc: 0.819444
Train 185, loss: 0.896981, train acc: 0.886667, train avg acc: 0.891026
Test 185, loss: 0.906347, test acc: 0.825000, test avg acc: 0.822222
Train 186, loss: 0.911749, train acc: 0.833333, train avg acc: 0.835239
Test 186, loss: 0.899778, test acc: 0.825000, test avg acc: 0.819444
Train 187, loss: 0.866543, train acc: 0.893333, train avg acc: 0.894737
Test 187, loss: 0.895148, test acc: 0.800000, test avg acc: 0.791667
Train 188, loss: 0.874121, train acc: 0.913333, train avg acc: 0.917105
Test 188, loss: 0.898216, test acc: 0.825000, test avg acc: 0.816667
Train 189, loss: 0.890038, train acc: 0.920000, train avg acc: 0.920341
Test 189, loss: 0.894549, test acc: 0.825000, test avg acc: 0.816667
Train 190, loss: 0.895339, train acc: 0.866667, train avg acc: 0.866465
Test 190, loss: 0.906197, test acc: 0.775000, test avg acc: 0.763889
Train 191, loss: 0.868977, train acc: 0.933333, train avg acc: 0.932692
