K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Train 182, loss: 0.894701, train acc: 0.860000, train avg acc: 0.859649
Test 182, loss: 0.935494, test acc: 0.850000, test avg acc: 0.841667
Train 183, loss: 0.862387, train acc: 0.886667, train avg acc: 0.888947
Test 183, loss: 0.936826, test acc: 0.825000, test avg acc: 0.816667
Train 184, loss: 0.878670, train acc: 0.900000, train avg acc: 0.898718
Test 184, loss: 0.936703, test acc: 0.850000, test avg acc: 0.841667
Train 185, loss: 0.864267, train acc: 0.880000, train avg acc: 0.876877
Test 185, loss: 0.932589, test acc: 0.875000, test avg acc: 0.869444
Train 186, loss: 0.871991, train acc: 0.860000, train avg acc: 0.864329
Test 186, loss: 0.943531, test acc: 0.850000, test avg acc: 0.841667
Train 187, loss: 0.861165, train acc: 0.900000, train avg acc: 0.899451
Test 187, loss: 0.945004, test acc: 0.850000, test avg acc: 0.841667
Train 188, loss: 0.843797, train acc: 0.913333, train avg acc: 0.912162
Test 188, loss: 0.938828, test acc: 0.850000, test avg acc: 0.841667
Train 189, loss: 0.869141, train acc: 0.893333, train avg acc: 0.894664
Test 189, loss: 0.934873, test acc: 0.850000, test avg acc: 0.841667
Train 190, loss: 0.868858, train acc: 0.886667, train avg acc: 0.887561
Test 190, loss: 0.932653, test acc: 0.850000, test avg acc: 0.841667
Train 191, loss: 0.843204, train acc: 0.920000, train avg acc: 0.918919
