K: 5, local_K: 5, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Test 67, loss: 0.894134, test acc: 0.850000, test avg acc: 0.836111
Train 68, loss: 0.846778, train acc: 0.920000, train avg acc: 0.918494
Test 68, loss: 0.891159, test acc: 0.850000, test avg acc: 0.836111
Train 69, loss: 0.871935, train acc: 0.900000, train avg acc: 0.901421
Test 69, loss: 0.941008, test acc: 0.800000, test avg acc: 0.780556
Train 70, loss: 0.889030, train acc: 0.926667, train avg acc: 0.926535
Test 70, loss: 0.993034, test acc: 0.800000, test avg acc: 0.780556
Train 71, loss: 0.855388, train acc: 0.920000, train avg acc: 0.924519
Test 71, loss: 0.933654, test acc: 0.800000, test avg acc: 0.780556
Train 72, loss: 0.855805, train acc: 0.920000, train avg acc: 0.923077
Test 72, loss: 0.902205, test acc: 0.850000, test avg acc: 0.836111
Train 73, loss: 0.927519, train acc: 0.846667, train avg acc: 0.848684
Test 73, loss: 0.913959, test acc: 0.800000, test avg acc: 0.791667
Train 74, loss: 0.905325, train acc: 0.893333, train avg acc: 0.897222
Test 74, loss: 0.945012, test acc: 0.825000, test avg acc: 0.808333
Train 75, loss: 0.889603, train acc: 0.873333, train avg acc: 0.871622
Test 75, loss: 0.893793, test acc: 0.850000, test avg acc: 0.836111
Train 76, loss: 0.894300, train acc: 0.840000, train avg acc: 0.838085
Test 76, loss: 0.890168, test acc: 0.875000, test avg acc: 0.863889
Train 77, loss: 0.854855, train acc: 0.920000, train avg acc: 0.917980
Test 77, loss: 0.911923, test acc: 0.825000, test avg acc: 0.808333
Train 78, loss: 0.871868, train acc: 0.893333, train avg acc: 0.896930
Test 78, loss: 0.896015, test acc: 0.875000, test avg acc: 0.863889
Train 79, loss: 0.851256, train acc: 0.893333, train avg acc: 0.893305
Test 79, loss: 0.918472, test acc: 0.825000, test avg acc: 0.808333
Train 80, loss: 0.861495, train acc: 0.900000, train avg acc: 0.905263
Test 80, loss: 0.913242, test acc: 0.825000, test avg acc: 0.808333
Train 81, loss: 0.853001, train acc: 0.926667, train avg acc: 0.928101
Test 81, loss: 0.913193, test acc: 0.825000, test avg acc: 0.808333
Train 82, loss: 0.845899, train acc: 0.940000, train avg acc: 0.940434
Test 82, loss: 0.908095, test acc: 0.800000, test avg acc: 0.786111
Train 83, loss: 0.881016, train acc: 0.880000, train avg acc: 0.885197
Test 83, loss: 0.928436, test acc: 0.800000, test avg acc: 0.783333
Train 84, loss: 0.876420, train acc: 0.920000, train avg acc: 0.919338
Test 84, loss: 0.924150, test acc: 0.800000, test avg acc: 0.783333
Train 85, loss: 0.828595, train acc: 0.933333, train avg acc: 0.934717
Test 85, loss: 0.920003, test acc: 0.825000, test avg acc: 0.816667
Train 86, loss: 0.882286, train acc: 0.886667, train avg acc: 0.887561
Test 86, loss: 0.889856, test acc: 0.875000, test avg acc: 0.866667
Train 87, loss: 0.863412, train acc: 0.900000, train avg acc: 0.905609
Test 87, loss: 0.907478, test acc: 0.850000, test avg acc: 0.836111
Train 88, loss: 0.856402, train acc: 0.906667, train avg acc: 0.908738
Test 88, loss: 0.903973, test acc: 0.825000, test avg acc: 0.808333
Train 89, loss: 0.848235, train acc: 0.920000, train avg acc: 0.921896
Test 89, loss: 0.920757, test acc: 0.825000, test avg acc: 0.808333
Train 90, loss: 0.849188, train acc: 0.933333, train avg acc: 0.933114
Test 90, loss: 0.925024, test acc: 0.850000, test avg acc: 0.838889
Train 91, loss: 0.824364, train acc: 0.946667, train avg acc: 0.947332
Test 91, loss: 0.948309, test acc: 0.825000, test avg acc: 0.811111
Train 92, loss: 0.852156, train acc: 0.926667, train avg acc: 0.928794
Test 92, loss: 0.928645, test acc: 0.825000, test avg acc: 0.811111
Train 93, loss: 0.848375, train acc: 0.906667, train avg acc: 0.904971
Test 93, loss: 0.915858, test acc: 0.825000, test avg acc: 0.819444
Train 94, loss: 0.857444, train acc: 0.906667, train avg acc: 0.907006
Test 94, loss: 0.919745, test acc: 0.800000, test avg acc: 0.788889
Train 95, loss: 0.837341, train acc: 0.920000, train avg acc: 0.920901
Test 95, loss: 0.904533, test acc: 0.825000, test avg acc: 0.811111
Train 96, loss: 0.856039, train acc: 0.933333, train avg acc: 0.933144
Test 96, loss: 0.975195, test acc: 0.775000, test avg acc: 0.752778
Train 97, loss: 0.852935, train acc: 0.900000, train avg acc: 0.900249
Test 97, loss: 0.990927, test acc: 0.775000, test avg acc: 0.752778
Train 98, loss: 0.844915, train acc: 0.913333, train avg acc: 0.914980
Test 98, loss: 0.888872, test acc: 0.875000, test avg acc: 0.863889
