K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Train 109, loss: 0.788736, train acc: 0.973333, train avg acc: 0.973684
Test 109, loss: 0.951835, test acc: 0.800000, test avg acc: 0.794444
Train 110, loss: 0.832555, train acc: 0.960000, train avg acc: 0.961486
Test 110, loss: 1.003300, test acc: 0.800000, test avg acc: 0.797222
Train 111, loss: 0.815194, train acc: 0.960000, train avg acc: 0.962019
Test 111, loss: 0.991856, test acc: 0.775000, test avg acc: 0.769444
Train 112, loss: 0.814257, train acc: 0.973333, train avg acc: 0.972474
Test 112, loss: 0.983317, test acc: 0.775000, test avg acc: 0.769444
Train 113, loss: 0.789042, train acc: 0.993333, train avg acc: 0.993421
Test 113, loss: 0.979737, test acc: 0.775000, test avg acc: 0.769444
Train 114, loss: 0.796906, train acc: 0.980000, train avg acc: 0.979730
Test 114, loss: 0.976017, test acc: 0.775000, test avg acc: 0.766667
Train 115, loss: 0.794781, train acc: 0.980000, train avg acc: 0.980076
Test 115, loss: 0.956055, test acc: 0.775000, test avg acc: 0.763889
Train 116, loss: 0.790102, train acc: 0.986667, train avg acc: 0.986477
Test 116, loss: 0.931941, test acc: 0.775000, test avg acc: 0.763889
Train 117, loss: 0.791919, train acc: 0.986667, train avg acc: 0.987011
Test 117, loss: 0.942840, test acc: 0.775000, test avg acc: 0.763889
Train 118, loss: 0.802226, train acc: 0.973333, train avg acc: 0.973684
Test 118, loss: 1.016033, test acc: 0.775000, test avg acc: 0.769444
Train 119, loss: 0.775257, train acc: 0.973333, train avg acc: 0.971815
Test 119, loss: 0.981366, test acc: 0.775000, test avg acc: 0.763889
Train 120, loss: 0.778296, train acc: 0.980000, train avg acc: 0.980432
Test 120, loss: 1.000366, test acc: 0.775000, test avg acc: 0.763889
Train 121, loss: 0.801984, train acc: 0.966667, train avg acc: 0.968421
Test 121, loss: 1.030874, test acc: 0.800000, test avg acc: 0.794444
Train 122, loss: 0.803233, train acc: 0.960000, train avg acc: 0.958709
Test 122, loss: 1.054045, test acc: 0.800000, test avg acc: 0.797222
Train 123, loss: 0.805067, train acc: 0.953333, train avg acc: 0.953020
Test 123, loss: 0.961336, test acc: 0.825000, test avg acc: 0.822222
Train 124, loss: 0.807416, train acc: 0.973333, train avg acc: 0.973506
Test 124, loss: 0.960078, test acc: 0.800000, test avg acc: 0.797222
Train 125, loss: 0.802849, train acc: 0.960000, train avg acc: 0.960845
Test 125, loss: 0.947038, test acc: 0.800000, test avg acc: 0.797222
Train 126, loss: 0.800867, train acc: 0.980000, train avg acc: 0.980076
Test 126, loss: 0.956353, test acc: 0.750000, test avg acc: 0.738889
Train 127, loss: 0.775264, train acc: 0.980000, train avg acc: 0.979908
Test 127, loss: 0.944647, test acc: 0.775000, test avg acc: 0.761111
Train 128, loss: 0.804824, train acc: 0.960000, train avg acc: 0.961699
Test 128, loss: 0.960614, test acc: 0.800000, test avg acc: 0.794444
Train 129, loss: 0.782369, train acc: 1.000000, train avg acc: 1.000000
Test 129, loss: 0.958912, test acc: 0.775000, test avg acc: 0.763889
Train 130, loss: 0.781878, train acc: 0.986667, train avg acc: 0.986299
Test 130, loss: 1.002216, test acc: 0.825000, test avg acc: 0.822222
Train 131, loss: 0.768540, train acc: 0.993333, train avg acc: 0.993421
Test 131, loss: 1.078451, test acc: 0.800000, test avg acc: 0.797222
Train 132, loss: 0.773670, train acc: 0.980000, train avg acc: 0.979861
Test 132, loss: 1.060577, test acc: 0.800000, test avg acc: 0.797222
Train 133, loss: 0.775708, train acc: 0.993333, train avg acc: 0.993056
Test 133, loss: 0.980751, test acc: 0.800000, test avg acc: 0.794444
Train 134, loss: 0.791556, train acc: 0.986667, train avg acc: 0.986806
Test 134, loss: 0.985397, test acc: 0.800000, test avg acc: 0.794444
Train 135, loss: 0.783346, train acc: 0.980000, train avg acc: 0.980263
Test 135, loss: 1.019078, test acc: 0.775000, test avg acc: 0.769444
Train 136, loss: 0.780017, train acc: 0.980000, train avg acc: 0.979908
Test 136, loss: 0.986199, test acc: 0.775000, test avg acc: 0.766667
Train 137, loss: 0.779664, train acc: 0.993333, train avg acc: 0.993590
Test 137, loss: 0.978411, test acc: 0.750000, test avg acc: 0.733333
