K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 93, loss: 0.921548, train acc: 0.820000, train avg acc: 0.824899
Test 93, loss: 0.912207, test acc: 0.850000, test avg acc: 0.841667
Train 94, loss: 0.912418, train acc: 0.820000, train avg acc: 0.817251
Test 94, loss: 0.911988, test acc: 0.825000, test avg acc: 0.813889
Train 95, loss: 0.907947, train acc: 0.853333, train avg acc: 0.851529
Test 95, loss: 0.908724, test acc: 0.800000, test avg acc: 0.783333
Train 96, loss: 0.942081, train acc: 0.793333, train avg acc: 0.795697
Test 96, loss: 0.912798, test acc: 0.800000, test avg acc: 0.783333
Train 97, loss: 0.935670, train acc: 0.780000, train avg acc: 0.782895
Test 97, loss: 0.918127, test acc: 0.875000, test avg acc: 0.869444
Train 98, loss: 0.924096, train acc: 0.853333, train avg acc: 0.860897
Test 98, loss: 0.923630, test acc: 0.850000, test avg acc: 0.847222
Train 99, loss: 0.923071, train acc: 0.773333, train avg acc: 0.765602
Test 99, loss: 0.921917, test acc: 0.850000, test avg acc: 0.847222
Train 100, loss: 0.908265, train acc: 0.826667, train avg acc: 0.826389
Test 100, loss: 0.913902, test acc: 0.850000, test avg acc: 0.838889
Train 101, loss: 0.917227, train acc: 0.793333, train avg acc: 0.805680
Test 101, loss: 0.914628, test acc: 0.825000, test avg acc: 0.811111
Train 102, loss: 0.936377, train acc: 0.813333, train avg acc: 0.809576
Test 102, loss: 0.915305, test acc: 0.825000, test avg acc: 0.811111
Train 103, loss: 0.927141, train acc: 0.786667, train avg acc: 0.798286
Test 103, loss: 0.915178, test acc: 0.800000, test avg acc: 0.786111
Train 104, loss: 0.934596, train acc: 0.820000, train avg acc: 0.826389
Test 104, loss: 0.921273, test acc: 0.850000, test avg acc: 0.841667
Train 105, loss: 0.917078, train acc: 0.820000, train avg acc: 0.819979
Test 105, loss: 0.916733, test acc: 0.825000, test avg acc: 0.813889
Train 106, loss: 0.913701, train acc: 0.846667, train avg acc: 0.845020
Test 106, loss: 0.919033, test acc: 0.800000, test avg acc: 0.788889
Train 107, loss: 0.917944, train acc: 0.826667, train avg acc: 0.828947
Test 107, loss: 0.917241, test acc: 0.800000, test avg acc: 0.788889
Train 108, loss: 0.907782, train acc: 0.853333, train avg acc: 0.854898
Test 108, loss: 0.916556, test acc: 0.800000, test avg acc: 0.788889
Train 109, loss: 0.914490, train acc: 0.840000, train avg acc: 0.846053
Test 109, loss: 0.921871, test acc: 0.850000, test avg acc: 0.847222
Train 110, loss: 0.903041, train acc: 0.873333, train avg acc: 0.869557
Test 110, loss: 0.914538, test acc: 0.875000, test avg acc: 0.869444
Train 111, loss: 0.941616, train acc: 0.800000, train avg acc: 0.801282
Test 111, loss: 0.909992, test acc: 0.875000, test avg acc: 0.866667
Train 112, loss: 0.932929, train acc: 0.820000, train avg acc: 0.822368
Test 112, loss: 0.909363, test acc: 0.875000, test avg acc: 0.866667
Train 113, loss: 0.943787, train acc: 0.780000, train avg acc: 0.779872
Test 113, loss: 0.918734, test acc: 0.850000, test avg acc: 0.838889
Train 114, loss: 0.922955, train acc: 0.793333, train avg acc: 0.798583
Test 114, loss: 0.914769, test acc: 0.825000, test avg acc: 0.813889
Train 115, loss: 0.902289, train acc: 0.820000, train avg acc: 0.824306
Test 115, loss: 0.913214, test acc: 0.850000, test avg acc: 0.838889
Train 116, loss: 0.912025, train acc: 0.806667, train avg acc: 0.811572
Test 116, loss: 0.917973, test acc: 0.850000, test avg acc: 0.844444
Train 117, loss: 0.902489, train acc: 0.846667, train avg acc: 0.847222
Test 117, loss: 0.924814, test acc: 0.850000, test avg acc: 0.847222
Train 118, loss: 0.921393, train acc: 0.840000, train avg acc: 0.839209
Test 118, loss: 0.917330, test acc: 0.850000, test avg acc: 0.847222
Train 119, loss: 0.910286, train acc: 0.833333, train avg acc: 0.842947
Test 119, loss: 0.908831, test acc: 0.900000, test avg acc: 0.894444
Train 120, loss: 0.947183, train acc: 0.840000, train avg acc: 0.847726
Test 120, loss: 0.921763, test acc: 0.825000, test avg acc: 0.819444
Train 121, loss: 0.917980, train acc: 0.833333, train avg acc: 0.839803
Test 121, loss: 0.935361, test acc: 0.825000, test avg acc: 0.819444
Train 122, loss: 0.894629, train acc: 0.840000, train avg acc: 0.839616
Test 122, loss: 0.930381, test acc: 0.825000, test avg acc: 0.819444
Train 123, loss: 0.926601, train acc: 0.786667, train avg acc: 0.787340
Test 123, loss: 0.925131, test acc: 0.825000, test avg acc: 0.819444
Train 124, loss: 0.917122, train acc: 0.840000, train avg acc: 0.838450
Test 124, loss: 0.922430, test acc: 0.875000, test avg acc: 0.872222
Train 125, loss: 0.915471, train acc: 0.826667, train avg acc: 0.821053
Test 125, loss: 0.922407, test acc: 0.825000, test avg acc: 0.811111
Train 126, loss: 0.914822, train acc: 0.820000, train avg acc: 0.822650
Test 126, loss: 0.915464, test acc: 0.800000, test avg acc: 0.783333
Train 127, loss: 0.908035, train acc: 0.846667, train avg acc: 0.847084
Test 127, loss: 0.919884, test acc: 0.825000, test avg acc: 0.811111
Train 128, loss: 0.901581, train acc: 0.840000, train avg acc: 0.843764
Test 128, loss: 0.921426, test acc: 0.850000, test avg acc: 0.844444
Train 129, loss: 0.909446, train acc: 0.846667, train avg acc: 0.844993
Test 129, loss: 0.918522, test acc: 0.850000, test avg acc: 0.844444
Train 130, loss: 0.932257, train acc: 0.833333, train avg acc: 0.833215
Test 130, loss: 0.915427, test acc: 0.825000, test avg acc: 0.813889
Train 131, loss: 0.901964, train acc: 0.846667, train avg acc: 0.848684
Test 131, loss: 0.917489, test acc: 0.850000, test avg acc: 0.841667
Train 132, loss: 0.920564, train acc: 0.820000, train avg acc: 0.827961
Test 132, loss: 0.923089, test acc: 0.825000, test avg acc: 0.819444
Train 133, loss: 0.906594, train acc: 0.860000, train avg acc: 0.866118
Test 133, loss: 0.944691, test acc: 0.825000, test avg acc: 0.819444
Train 134, loss: 0.901826, train acc: 0.860000, train avg acc: 0.857890
Test 134, loss: 0.948029, test acc: 0.825000, test avg acc: 0.819444
Train 135, loss: 0.894831, train acc: 0.866667, train avg acc: 0.868676
Test 135, loss: 0.935572, test acc: 0.825000, test avg acc: 0.819444
Train 136, loss: 0.906657, train acc: 0.860000, train avg acc: 0.865385
Test 136, loss: 0.930660, test acc: 0.775000, test avg acc: 0.758333
Train 137, loss: 0.924450, train acc: 0.820000, train avg acc: 0.825987
Test 137, loss: 0.924313, test acc: 0.800000, test avg acc: 0.783333
Train 138, loss: 0.909618, train acc: 0.820000, train avg acc: 0.823270
Test 138, loss: 0.923955, test acc: 0.850000, test avg acc: 0.841667
Train 139, loss: 0.948750, train acc: 0.806667, train avg acc: 0.806356
Test 139, loss: 0.919471, test acc: 0.850000, test avg acc: 0.841667
Train 140, loss: 0.927461, train acc: 0.826667, train avg acc: 0.829522
Test 140, loss: 0.916174, test acc: 0.850000, test avg acc: 0.841667
Train 141, loss: 0.909127, train acc: 0.826667, train avg acc: 0.831478
Test 141, loss: 0.908596, test acc: 0.825000, test avg acc: 0.816667
Train 142, loss: 0.902703, train acc: 0.833333, train avg acc: 0.835239
Test 142, loss: 0.905220, test acc: 0.850000, test avg acc: 0.844444
Train 143, loss: 0.914592, train acc: 0.860000, train avg acc: 0.855856
Test 143, loss: 0.907517, test acc: 0.850000, test avg acc: 0.844444
Train 144, loss: 0.905138, train acc: 0.880000, train avg acc: 0.882536
Test 144, loss: 0.910227, test acc: 0.850000, test avg acc: 0.844444
Train 145, loss: 0.928871, train acc: 0.806667, train avg acc: 0.804401
Test 145, loss: 0.914732, test acc: 0.850000, test avg acc: 0.844444
Train 146, loss: 0.885707, train acc: 0.866667, train avg acc: 0.865919
Test 146, loss: 0.910761, test acc: 0.850000, test avg acc: 0.844444
Train 147, loss: 0.915378, train acc: 0.813333, train avg acc: 0.822596
Test 147, loss: 0.913033, test acc: 0.850000, test avg acc: 0.844444
Train 148, loss: 0.906573, train acc: 0.860000, train avg acc: 0.863698
Test 148, loss: 0.912497, test acc: 0.850000, test avg acc: 0.844444
Train 149, loss: 0.903449, train acc: 0.820000, train avg acc: 0.822321
Test 149, loss: 0.909832, test acc: 0.850000, test avg acc: 0.844444
Train 150, loss: 0.915796, train acc: 0.826667, train avg acc: 0.835897
Test 150, loss: 0.914551, test acc: 0.850000, test avg acc: 0.847222
Train 151, loss: 0.914436, train acc: 0.866667, train avg acc: 0.866465
Test 151, loss: 0.912234, test acc: 0.875000, test avg acc: 0.872222
