K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet_norm
Train 60, loss: 0.913152, train acc: 0.846667, train avg acc: 0.850735
Test 60, loss: 0.929974, test acc: 0.750000, test avg acc: 0.741667
Train 61, loss: 0.923026, train acc: 0.826667, train avg acc: 0.828829
Test 61, loss: 0.934346, test acc: 0.775000, test avg acc: 0.769444
Train 62, loss: 0.900593, train acc: 0.860000, train avg acc: 0.859509
Test 62, loss: 0.918251, test acc: 0.750000, test avg acc: 0.738889
Train 63, loss: 0.907175, train acc: 0.873333, train avg acc: 0.873212
Test 63, loss: 0.930680, test acc: 0.750000, test avg acc: 0.738889
Train 64, loss: 0.936232, train acc: 0.846667, train avg acc: 0.850882
Test 64, loss: 0.942447, test acc: 0.775000, test avg acc: 0.766667
Train 65, loss: 0.917535, train acc: 0.846667, train avg acc: 0.846728
Test 65, loss: 0.932641, test acc: 0.725000, test avg acc: 0.722222
Train 66, loss: 0.927005, train acc: 0.786667, train avg acc: 0.791498
Test 66, loss: 0.918625, test acc: 0.750000, test avg acc: 0.741667
Train 67, loss: 0.914789, train acc: 0.840000, train avg acc: 0.843933
Test 67, loss: 0.934750, test acc: 0.750000, test avg acc: 0.738889
Train 68, loss: 0.892456, train acc: 0.860000, train avg acc: 0.852198
Test 68, loss: 0.913966, test acc: 0.775000, test avg acc: 0.758333
Train 69, loss: 0.913442, train acc: 0.860000, train avg acc: 0.860775
Test 69, loss: 0.915290, test acc: 0.775000, test avg acc: 0.755556
Train 70, loss: 0.894476, train acc: 0.853333, train avg acc: 0.859722
Test 70, loss: 0.942346, test acc: 0.750000, test avg acc: 0.738889
Train 71, loss: 0.930867, train acc: 0.813333, train avg acc: 0.817982
Test 71, loss: 0.932628, test acc: 0.775000, test avg acc: 0.769444
Train 72, loss: 0.906566, train acc: 0.860000, train avg acc: 0.860043
Test 72, loss: 0.924736, test acc: 0.750000, test avg acc: 0.738889
Train 73, loss: 0.917005, train acc: 0.833333, train avg acc: 0.835470
Test 73, loss: 0.923310, test acc: 0.800000, test avg acc: 0.783333
Train 74, loss: 0.905594, train acc: 0.833333, train avg acc: 0.840095
Test 74, loss: 0.918709, test acc: 0.725000, test avg acc: 0.708333
Train 75, loss: 0.904619, train acc: 0.866667, train avg acc: 0.867637
Test 75, loss: 0.919987, test acc: 0.775000, test avg acc: 0.766667
Train 76, loss: 0.907307, train acc: 0.833333, train avg acc: 0.836972
Test 76, loss: 0.913981, test acc: 0.750000, test avg acc: 0.733333
Train 77, loss: 0.916621, train acc: 0.833333, train avg acc: 0.834282
Test 77, loss: 0.917544, test acc: 0.775000, test avg acc: 0.758333
Train 78, loss: 0.890928, train acc: 0.873333, train avg acc: 0.874635
Test 78, loss: 0.922119, test acc: 0.775000, test avg acc: 0.766667
Train 79, loss: 0.897957, train acc: 0.833333, train avg acc: 0.836111
Test 79, loss: 0.931431, test acc: 0.775000, test avg acc: 0.769444
Train 80, loss: 0.889669, train acc: 0.880000, train avg acc: 0.881497
Test 80, loss: 0.930009, test acc: 0.775000, test avg acc: 0.769444
Train 81, loss: 0.906882, train acc: 0.853333, train avg acc: 0.851243
Test 81, loss: 0.917126, test acc: 0.775000, test avg acc: 0.766667
Train 82, loss: 0.908719, train acc: 0.866667, train avg acc: 0.870395
Test 82, loss: 0.941522, test acc: 0.750000, test avg acc: 0.741667
Train 83, loss: 0.897587, train acc: 0.866667, train avg acc: 0.866643
Test 83, loss: 0.952442, test acc: 0.750000, test avg acc: 0.741667
Train 84, loss: 0.894622, train acc: 0.866667, train avg acc: 0.866465
Test 84, loss: 0.933423, test acc: 0.750000, test avg acc: 0.741667
