K: 15, local_K: 15, Batch: 28.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Test 98, loss: 0.886072, test acc: 0.875000, test avg acc: 0.872222
Train 99, loss: 0.836794, train acc: 0.935714, train avg acc: 0.936208
Test 99, loss: 0.904528, test acc: 0.850000, test avg acc: 0.847222
Train 100, loss: 0.828593, train acc: 0.942857, train avg acc: 0.943381
Test 100, loss: 0.913993, test acc: 0.825000, test avg acc: 0.819444
Train 101, loss: 0.841655, train acc: 0.935714, train avg acc: 0.936021
Test 101, loss: 0.889552, test acc: 0.825000, test avg acc: 0.816667
Train 102, loss: 0.830633, train acc: 0.950000, train avg acc: 0.952881
Test 102, loss: 0.917324, test acc: 0.825000, test avg acc: 0.822222
Train 103, loss: 0.806086, train acc: 0.964286, train avg acc: 0.964009
Test 103, loss: 0.975468, test acc: 0.775000, test avg acc: 0.772222
Train 104, loss: 0.815403, train acc: 0.957143, train avg acc: 0.956723
Test 104, loss: 0.948874, test acc: 0.825000, test avg acc: 0.822222
Train 105, loss: 0.836377, train acc: 0.957143, train avg acc: 0.954963
Test 105, loss: 0.959499, test acc: 0.825000, test avg acc: 0.822222
Train 106, loss: 0.810209, train acc: 0.964286, train avg acc: 0.964548
Test 106, loss: 0.950003, test acc: 0.800000, test avg acc: 0.794444
Train 107, loss: 0.850247, train acc: 0.921429, train avg acc: 0.919192
Test 107, loss: 0.905795, test acc: 0.825000, test avg acc: 0.819444
Train 108, loss: 0.813917, train acc: 0.942857, train avg acc: 0.943552
Test 108, loss: 0.899166, test acc: 0.825000, test avg acc: 0.819444
Train 109, loss: 0.826554, train acc: 0.942857, train avg acc: 0.942369
Test 109, loss: 0.892949, test acc: 0.875000, test avg acc: 0.875000
Train 110, loss: 0.851543, train acc: 0.950000, train avg acc: 0.951931
Test 110, loss: 0.916413, test acc: 0.825000, test avg acc: 0.819444
Train 111, loss: 0.833893, train acc: 0.942857, train avg acc: 0.945175
Test 111, loss: 0.933138, test acc: 0.825000, test avg acc: 0.822222
Train 112, loss: 0.793204, train acc: 0.971429, train avg acc: 0.969697
Test 112, loss: 0.903822, test acc: 0.850000, test avg acc: 0.844444
Train 113, loss: 0.801011, train acc: 0.978571, train avg acc: 0.978092
Test 113, loss: 0.894008, test acc: 0.850000, test avg acc: 0.838889
Train 114, loss: 0.809735, train acc: 0.964286, train avg acc: 0.964672
Test 114, loss: 0.888210, test acc: 0.850000, test avg acc: 0.844444
Train 115, loss: 0.795894, train acc: 0.985714, train avg acc: 0.985504
Test 115, loss: 0.918044, test acc: 0.850000, test avg acc: 0.850000
Train 116, loss: 0.824683, train acc: 0.971429, train avg acc: 0.970996
Test 116, loss: 0.907745, test acc: 0.875000, test avg acc: 0.875000
Train 117, loss: 0.806406, train acc: 0.928571, train avg acc: 0.927731
Test 117, loss: 0.911381, test acc: 0.850000, test avg acc: 0.844444
Train 118, loss: 0.787840, train acc: 0.964286, train avg acc: 0.964428
Test 118, loss: 0.931656, test acc: 0.825000, test avg acc: 0.822222
Train 119, loss: 0.786842, train acc: 0.978571, train avg acc: 0.977941
Test 119, loss: 0.911843, test acc: 0.825000, test avg acc: 0.822222
Train 120, loss: 0.793086, train acc: 0.964286, train avg acc: 0.964578
Test 120, loss: 0.890089, test acc: 0.800000, test avg acc: 0.786111
Train 121, loss: 0.819886, train acc: 0.950000, train avg acc: 0.950851
Test 121, loss: 0.906291, test acc: 0.875000, test avg acc: 0.863889
Train 122, loss: 0.789769, train acc: 0.964286, train avg acc: 0.964286
Test 122, loss: 0.903939, test acc: 0.875000, test avg acc: 0.866667
Train 123, loss: 0.792581, train acc: 0.957143, train avg acc: 0.956513
Test 123, loss: 0.946985, test acc: 0.825000, test avg acc: 0.822222
Train 124, loss: 0.803063, train acc: 0.964286, train avg acc: 0.964461
Test 124, loss: 0.927540, test acc: 0.825000, test avg acc: 0.819444
Train 125, loss: 0.799312, train acc: 0.985714, train avg acc: 0.986664
Test 125, loss: 0.930775, test acc: 0.750000, test avg acc: 0.736111
Train 126, loss: 0.779396, train acc: 0.985714, train avg acc: 0.985714
