K: 16, local_K: 16, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_norm
Test 66, loss: 0.985299, test acc: 0.725000, test avg acc: 0.711111
Train 67, loss: 0.937645, train acc: 0.837500, train avg acc: 0.839024
Test 67, loss: 0.967852, test acc: 0.750000, test avg acc: 0.741667
Train 68, loss: 0.944634, train acc: 0.837500, train avg acc: 0.840549
Test 68, loss: 0.993467, test acc: 0.725000, test avg acc: 0.719444
Train 69, loss: 0.931382, train acc: 0.837500, train avg acc: 0.839482
Test 69, loss: 0.993443, test acc: 0.800000, test avg acc: 0.780556
Train 70, loss: 0.949148, train acc: 0.793750, train avg acc: 0.796646
Test 70, loss: 0.972315, test acc: 0.725000, test avg acc: 0.711111
Train 71, loss: 0.942428, train acc: 0.831250, train avg acc: 0.834146
Test 71, loss: 0.959540, test acc: 0.775000, test avg acc: 0.758333
Train 72, loss: 0.946480, train acc: 0.837500, train avg acc: 0.839787
Test 72, loss: 0.962206, test acc: 0.725000, test avg acc: 0.713889
Train 73, loss: 0.960846, train acc: 0.818750, train avg acc: 0.821189
Test 73, loss: 0.970649, test acc: 0.725000, test avg acc: 0.713889
Train 74, loss: 0.934098, train acc: 0.850000, train avg acc: 0.851982
Test 74, loss: 0.991599, test acc: 0.725000, test avg acc: 0.713889
Train 75, loss: 0.920995, train acc: 0.850000, train avg acc: 0.851677
Test 75, loss: 0.955839, test acc: 0.800000, test avg acc: 0.780556
Train 76, loss: 1.022804, train acc: 0.800000, train avg acc: 0.801669
Test 76, loss: 0.982282, test acc: 0.725000, test avg acc: 0.713889
Train 77, loss: 0.979880, train acc: 0.800000, train avg acc: 0.802896
Test 77, loss: 0.963580, test acc: 0.725000, test avg acc: 0.713889
Train 78, loss: 0.934965, train acc: 0.850000, train avg acc: 0.851677
Test 78, loss: 0.986582, test acc: 0.725000, test avg acc: 0.711111
Train 79, loss: 0.929165, train acc: 0.856250, train avg acc: 0.857927
Test 79, loss: 1.000093, test acc: 0.725000, test avg acc: 0.713889
Train 80, loss: 0.942948, train acc: 0.881250, train avg acc: 0.883384
Test 80, loss: 0.973873, test acc: 0.750000, test avg acc: 0.738889
Train 81, loss: 0.944742, train acc: 0.856250, train avg acc: 0.858232
Test 81, loss: 0.979864, test acc: 0.725000, test avg acc: 0.713889
Train 82, loss: 0.925577, train acc: 0.862500, train avg acc: 0.864024
Test 82, loss: 0.970932, test acc: 0.800000, test avg acc: 0.788889
Train 83, loss: 0.940958, train acc: 0.856250, train avg acc: 0.858384
Test 83, loss: 0.955763, test acc: 0.750000, test avg acc: 0.736111
Train 84, loss: 0.967904, train acc: 0.831250, train avg acc: 0.833232
Test 84, loss: 0.937085, test acc: 0.825000, test avg acc: 0.813889
Train 85, loss: 0.928245, train acc: 0.837500, train avg acc: 0.839787
Test 85, loss: 0.957693, test acc: 0.800000, test avg acc: 0.786111
Train 86, loss: 0.933556, train acc: 0.856250, train avg acc: 0.858232
Test 86, loss: 0.987507, test acc: 0.725000, test avg acc: 0.716667
Train 87, loss: 0.922419, train acc: 0.881250, train avg acc: 0.883079
Test 87, loss: 0.984184, test acc: 0.725000, test avg acc: 0.713889
Train 88, loss: 0.915884, train acc: 0.837500, train avg acc: 0.839329
Test 88, loss: 0.964969, test acc: 0.725000, test avg acc: 0.713889
