K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Train 88, loss: 0.921796, train acc: 0.833333, train avg acc: 0.830921
Test 88, loss: 0.932703, test acc: 0.800000, test avg acc: 0.797222
Train 89, loss: 0.940437, train acc: 0.806667, train avg acc: 0.815789
Test 89, loss: 0.932282, test acc: 0.800000, test avg acc: 0.797222
Train 90, loss: 0.930421, train acc: 0.826667, train avg acc: 0.828947
Test 90, loss: 0.914721, test acc: 0.875000, test avg acc: 0.866667
Train 91, loss: 0.916227, train acc: 0.880000, train avg acc: 0.876827
Test 91, loss: 0.912775, test acc: 0.825000, test avg acc: 0.811111
Train 92, loss: 0.921123, train acc: 0.833333, train avg acc: 0.836981
Test 92, loss: 0.915801, test acc: 0.825000, test avg acc: 0.813889
Train 93, loss: 0.908780, train acc: 0.826667, train avg acc: 0.831309
Test 93, loss: 0.919537, test acc: 0.825000, test avg acc: 0.816667
Train 94, loss: 0.923045, train acc: 0.813333, train avg acc: 0.812135
Test 94, loss: 0.917535, test acc: 0.825000, test avg acc: 0.813889
Train 95, loss: 0.914870, train acc: 0.813333, train avg acc: 0.810989
Test 95, loss: 0.909886, test acc: 0.800000, test avg acc: 0.786111
Train 96, loss: 0.942699, train acc: 0.840000, train avg acc: 0.841750
Test 96, loss: 0.909827, test acc: 0.800000, test avg acc: 0.783333
Train 97, loss: 0.930577, train acc: 0.786667, train avg acc: 0.789474
Test 97, loss: 0.915106, test acc: 0.875000, test avg acc: 0.869444
Train 98, loss: 0.905573, train acc: 0.840000, train avg acc: 0.847596
Test 98, loss: 0.920705, test acc: 0.825000, test avg acc: 0.822222
Train 99, loss: 0.929552, train acc: 0.793333, train avg acc: 0.785338
Test 99, loss: 0.920945, test acc: 0.850000, test avg acc: 0.847222
Train 100, loss: 0.898809, train acc: 0.833333, train avg acc: 0.833868
Test 100, loss: 0.907418, test acc: 0.875000, test avg acc: 0.866667
Train 101, loss: 0.913314, train acc: 0.826667, train avg acc: 0.836168
Test 101, loss: 0.907381, test acc: 0.850000, test avg acc: 0.838889
Train 102, loss: 0.923538, train acc: 0.840000, train avg acc: 0.836623
Test 102, loss: 0.914947, test acc: 0.875000, test avg acc: 0.866667
Train 103, loss: 0.933665, train acc: 0.786667, train avg acc: 0.796780
Test 103, loss: 0.916687, test acc: 0.875000, test avg acc: 0.866667
Train 104, loss: 0.921568, train acc: 0.820000, train avg acc: 0.826923
Test 104, loss: 0.923870, test acc: 0.775000, test avg acc: 0.763889
Train 105, loss: 0.904438, train acc: 0.846667, train avg acc: 0.846154
Test 105, loss: 0.928083, test acc: 0.800000, test avg acc: 0.788889
Train 106, loss: 0.910760, train acc: 0.820000, train avg acc: 0.817973
Test 106, loss: 0.926012, test acc: 0.800000, test avg acc: 0.788889
Train 107, loss: 0.918820, train acc: 0.846667, train avg acc: 0.848684
Test 107, loss: 0.921888, test acc: 0.800000, test avg acc: 0.788889
Train 108, loss: 0.916517, train acc: 0.820000, train avg acc: 0.821413
Test 108, loss: 0.916544, test acc: 0.800000, test avg acc: 0.788889
Train 109, loss: 0.909397, train acc: 0.840000, train avg acc: 0.845724
Test 109, loss: 0.923784, test acc: 0.800000, test avg acc: 0.791667
Train 110, loss: 0.905036, train acc: 0.873333, train avg acc: 0.869369
Test 110, loss: 0.915257, test acc: 0.850000, test avg acc: 0.844444
Train 111, loss: 0.929932, train acc: 0.820000, train avg acc: 0.822115
Test 111, loss: 0.913134, test acc: 0.850000, test avg acc: 0.838889
Train 112, loss: 0.930094, train acc: 0.866667, train avg acc: 0.868421
Test 112, loss: 0.917500, test acc: 0.850000, test avg acc: 0.838889
