K: 15, local_K: 15, Batch: 10.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 89, loss: 0.955126, test acc: 0.850000, test avg acc: 0.841667
Train 90, loss: 1.016763, train acc: 0.731250, train avg acc: 0.734299
Test 90, loss: 0.943648, test acc: 0.850000, test avg acc: 0.841667
Train 91, loss: 1.000427, train acc: 0.775000, train avg acc: 0.777416
Test 91, loss: 0.975697, test acc: 0.750000, test avg acc: 0.747222
Train 92, loss: 0.959233, train acc: 0.787500, train avg acc: 0.788415
Test 92, loss: 0.934556, test acc: 0.850000, test avg acc: 0.841667
Train 93, loss: 1.011904, train acc: 0.750000, train avg acc: 0.753659
Test 93, loss: 0.964172, test acc: 0.775000, test avg acc: 0.769444
Train 94, loss: 1.029597, train acc: 0.781250, train avg acc: 0.781699
Test 94, loss: 0.967582, test acc: 0.825000, test avg acc: 0.816667
Train 95, loss: 1.003237, train acc: 0.743750, train avg acc: 0.746783
Test 95, loss: 0.994341, test acc: 0.775000, test avg acc: 0.766667
Train 96, loss: 0.976468, train acc: 0.812500, train avg acc: 0.814482
Test 96, loss: 0.949588, test acc: 0.800000, test avg acc: 0.791667
Train 97, loss: 0.990409, train acc: 0.793750, train avg acc: 0.796791
Test 97, loss: 0.982801, test acc: 0.750000, test avg acc: 0.733333
Train 98, loss: 0.988753, train acc: 0.756250, train avg acc: 0.759299
Test 98, loss: 0.939559, test acc: 0.800000, test avg acc: 0.797222
Train 99, loss: 0.932532, train acc: 0.862500, train avg acc: 0.864177
Test 99, loss: 0.964245, test acc: 0.775000, test avg acc: 0.766667
Train 100, loss: 0.979849, train acc: 0.787500, train avg acc: 0.790084
Test 100, loss: 0.946554, test acc: 0.800000, test avg acc: 0.791667
Train 101, loss: 0.968942, train acc: 0.818750, train avg acc: 0.820732
Test 101, loss: 0.958804, test acc: 0.800000, test avg acc: 0.794444
Train 102, loss: 0.977105, train acc: 0.781250, train avg acc: 0.784146
Test 102, loss: 0.969544, test acc: 0.800000, test avg acc: 0.791667
Train 103, loss: 0.967900, train acc: 0.762500, train avg acc: 0.765854
Test 103, loss: 0.946493, test acc: 0.850000, test avg acc: 0.841667
Train 104, loss: 0.961978, train acc: 0.812500, train avg acc: 0.814939
Test 104, loss: 0.925996, test acc: 0.850000, test avg acc: 0.844444
Train 105, loss: 0.948521, train acc: 0.781250, train avg acc: 0.783529
Test 105, loss: 0.955348, test acc: 0.825000, test avg acc: 0.816667
Train 106, loss: 0.988367, train acc: 0.825000, train avg acc: 0.826974
Test 106, loss: 0.949402, test acc: 0.775000, test avg acc: 0.766667
Train 107, loss: 0.979357, train acc: 0.781250, train avg acc: 0.783384
Test 107, loss: 0.951696, test acc: 0.800000, test avg acc: 0.791667
Train 108, loss: 0.949352, train acc: 0.787500, train avg acc: 0.790396
Test 108, loss: 0.955110, test acc: 0.850000, test avg acc: 0.841667
Train 109, loss: 0.959188, train acc: 0.787500, train avg acc: 0.790701
Test 109, loss: 0.964886, test acc: 0.825000, test avg acc: 0.816667
Train 110, loss: 0.996553, train acc: 0.750000, train avg acc: 0.752439
Test 110, loss: 0.954548, test acc: 0.800000, test avg acc: 0.794444
Train 111, loss: 0.954770, train acc: 0.818750, train avg acc: 0.821037
Test 111, loss: 0.961898, test acc: 0.825000, test avg acc: 0.813889
Train 112, loss: 0.946461, train acc: 0.793750, train avg acc: 0.796037
Test 112, loss: 0.932793, test acc: 0.800000, test avg acc: 0.791667
Train 113, loss: 0.951042, train acc: 0.800000, train avg acc: 0.801974
Test 113, loss: 0.948216, test acc: 0.800000, test avg acc: 0.794444
Train 114, loss: 0.963331, train acc: 0.793750, train avg acc: 0.797104
Test 114, loss: 0.960786, test acc: 0.825000, test avg acc: 0.822222
Train 115, loss: 0.973899, train acc: 0.812500, train avg acc: 0.814939
Test 115, loss: 0.956914, test acc: 0.750000, test avg acc: 0.747222
Train 116, loss: 0.964518, train acc: 0.768750, train avg acc: 0.771334
Test 116, loss: 0.944734, test acc: 0.800000, test avg acc: 0.797222
Train 117, loss: 0.982638, train acc: 0.800000, train avg acc: 0.803354
Test 117, loss: 0.956613, test acc: 0.800000, test avg acc: 0.797222
Train 118, loss: 0.963245, train acc: 0.781250, train avg acc: 0.783232
Test 118, loss: 0.930932, test acc: 0.775000, test avg acc: 0.763889
Train 119, loss: 0.958045, train acc: 0.787500, train avg acc: 0.790244
Test 119, loss: 0.948951, test acc: 0.800000, test avg acc: 0.783333
Train 120, loss: 0.959322, train acc: 0.812500, train avg acc: 0.815854
Test 120, loss: 0.930431, test acc: 0.775000, test avg acc: 0.761111
Train 121, loss: 0.959217, train acc: 0.793750, train avg acc: 0.794352
Test 121, loss: 0.946167, test acc: 0.800000, test avg acc: 0.797222
Train 122, loss: 0.991649, train acc: 0.762500, train avg acc: 0.766463
Test 122, loss: 0.935324, test acc: 0.825000, test avg acc: 0.808333
Train 123, loss: 0.964391, train acc: 0.812500, train avg acc: 0.814939
Test 123, loss: 0.940722, test acc: 0.800000, test avg acc: 0.794444
Train 124, loss: 0.940563, train acc: 0.800000, train avg acc: 0.801059
Test 124, loss: 0.931581, test acc: 0.850000, test avg acc: 0.841667
Train 125, loss: 0.947879, train acc: 0.812500, train avg acc: 0.815244
Test 125, loss: 0.940254, test acc: 0.825000, test avg acc: 0.816667
Train 126, loss: 0.936907, train acc: 0.837500, train avg acc: 0.839634
Test 126, loss: 0.949705, test acc: 0.825000, test avg acc: 0.816667
Train 127, loss: 0.932977, train acc: 0.862500, train avg acc: 0.863567
Test 127, loss: 0.962503, test acc: 0.825000, test avg acc: 0.819444
Train 128, loss: 0.962094, train acc: 0.800000, train avg acc: 0.802431
Test 128, loss: 0.940245, test acc: 0.850000, test avg acc: 0.841667
Train 129, loss: 0.943448, train acc: 0.800000, train avg acc: 0.801669
Test 129, loss: 0.953185, test acc: 0.800000, test avg acc: 0.791667
Train 130, loss: 0.943156, train acc: 0.812500, train avg acc: 0.814482
Test 130, loss: 0.939525, test acc: 0.850000, test avg acc: 0.841667
Train 131, loss: 0.970523, train acc: 0.800000, train avg acc: 0.802431
Test 131, loss: 0.951879, test acc: 0.825000, test avg acc: 0.819444
Train 132, loss: 0.950525, train acc: 0.812500, train avg acc: 0.815091
Test 132, loss: 0.932106, test acc: 0.825000, test avg acc: 0.819444
Train 133, loss: 0.940230, train acc: 0.800000, train avg acc: 0.802126
Test 133, loss: 0.945365, test acc: 0.825000, test avg acc: 0.822222
Train 134, loss: 0.941011, train acc: 0.825000, train avg acc: 0.826829
Test 134, loss: 0.959189, test acc: 0.775000, test avg acc: 0.772222
Train 135, loss: 0.945192, train acc: 0.831250, train avg acc: 0.832767
Test 135, loss: 0.936555, test acc: 0.850000, test avg acc: 0.841667
Train 136, loss: 0.950633, train acc: 0.812500, train avg acc: 0.814634
Test 136, loss: 0.939380, test acc: 0.850000, test avg acc: 0.841667
Train 137, loss: 0.942106, train acc: 0.837500, train avg acc: 0.838872
Test 137, loss: 0.939270, test acc: 0.800000, test avg acc: 0.794444
Train 138, loss: 0.969006, train acc: 0.812500, train avg acc: 0.815091
Test 138, loss: 0.938935, test acc: 0.825000, test avg acc: 0.819444
Train 139, loss: 0.962219, train acc: 0.787500, train avg acc: 0.789939
Test 139, loss: 0.930901, test acc: 0.825000, test avg acc: 0.819444
Train 140, loss: 0.955910, train acc: 0.812500, train avg acc: 0.814939
Test 140, loss: 0.961707, test acc: 0.800000, test avg acc: 0.783333
Train 141, loss: 0.946371, train acc: 0.837500, train avg acc: 0.839482
Test 141, loss: 0.950556, test acc: 0.825000, test avg acc: 0.816667
Train 142, loss: 0.921401, train acc: 0.837500, train avg acc: 0.839024
Test 142, loss: 0.945073, test acc: 0.825000, test avg acc: 0.816667
Train 143, loss: 0.946097, train acc: 0.837500, train avg acc: 0.839634
Test 143, loss: 0.942612, test acc: 0.825000, test avg acc: 0.816667
Train 144, loss: 0.939695, train acc: 0.837500, train avg acc: 0.839482
Test 144, loss: 0.933626, test acc: 0.850000, test avg acc: 0.841667
Train 145, loss: 0.925542, train acc: 0.812500, train avg acc: 0.814787
Test 145, loss: 0.949414, test acc: 0.800000, test avg acc: 0.794444
Train 146, loss: 0.937388, train acc: 0.818750, train avg acc: 0.820274
Test 146, loss: 0.934755, test acc: 0.775000, test avg acc: 0.766667
Train 147, loss: 0.961326, train acc: 0.793750, train avg acc: 0.796037
Test 147, loss: 0.925922, test acc: 0.825000, test avg acc: 0.816667
Train 148, loss: 0.956575, train acc: 0.762500, train avg acc: 0.764634
Test 148, loss: 0.942377, test acc: 0.800000, test avg acc: 0.788889
Train 149, loss: 0.939772, train acc: 0.818750, train avg acc: 0.820732
Test 149, loss: 0.942760, test acc: 0.875000, test avg acc: 0.869444
Train 150, loss: 0.934201, train acc: 0.800000, train avg acc: 0.802134
Test 150, loss: 0.932058, test acc: 0.875000, test avg acc: 0.869444
Train 151, loss: 0.926016, train acc: 0.825000, train avg acc: 0.827439
Test 151, loss: 0.933471, test acc: 0.850000, test avg acc: 0.844444
Train 152, loss: 0.925716, train acc: 0.825000, train avg acc: 0.827126
Test 152, loss: 0.945110, test acc: 0.825000, test avg acc: 0.819444
Train 153, loss: 0.947921, train acc: 0.831250, train avg acc: 0.832774
Test 153, loss: 0.940098, test acc: 0.825000, test avg acc: 0.822222
Train 154, loss: 0.933502, train acc: 0.837500, train avg acc: 0.839329
Test 154, loss: 0.932638, test acc: 0.775000, test avg acc: 0.766667
Train 155, loss: 0.929405, train acc: 0.843750, train avg acc: 0.845274
Test 155, loss: 0.939891, test acc: 0.825000, test avg acc: 0.816667
Train 156, loss: 0.940479, train acc: 0.831250, train avg acc: 0.833689
Test 156, loss: 0.954815, test acc: 0.800000, test avg acc: 0.783333
Train 157, loss: 0.955168, train acc: 0.781250, train avg acc: 0.783529
Test 157, loss: 0.934946, test acc: 0.800000, test avg acc: 0.791667
Train 158, loss: 0.976068, train acc: 0.793750, train avg acc: 0.795884
Test 158, loss: 0.929613, test acc: 0.825000, test avg acc: 0.816667
Train 159, loss: 0.914295, train acc: 0.862500, train avg acc: 0.864787
Test 159, loss: 0.925458, test acc: 0.825000, test avg acc: 0.816667
Train 160, loss: 0.944868, train acc: 0.831250, train avg acc: 0.833841
Test 160, loss: 0.932999, test acc: 0.800000, test avg acc: 0.791667
Train 161, loss: 0.944770, train acc: 0.812500, train avg acc: 0.814169
Test 161, loss: 0.944870, test acc: 0.800000, test avg acc: 0.794444
Train 162, loss: 0.950502, train acc: 0.806250, train avg acc: 0.807767
Test 162, loss: 0.947730, test acc: 0.800000, test avg acc: 0.791667
Train 163, loss: 0.970789, train acc: 0.781250, train avg acc: 0.783681
Test 163, loss: 0.927166, test acc: 0.750000, test avg acc: 0.733333
Train 164, loss: 0.941831, train acc: 0.831250, train avg acc: 0.833537
Test 164, loss: 0.938451, test acc: 0.750000, test avg acc: 0.733333
Train 165, loss: 0.948489, train acc: 0.818750, train avg acc: 0.821341
Test 165, loss: 0.938279, test acc: 0.775000, test avg acc: 0.766667
Train 166, loss: 0.926839, train acc: 0.843750, train avg acc: 0.845122
Test 166, loss: 0.937388, test acc: 0.800000, test avg acc: 0.791667
Train 167, loss: 0.937958, train acc: 0.793750, train avg acc: 0.796189
Test 167, loss: 0.937225, test acc: 0.825000, test avg acc: 0.816667
Train 168, loss: 0.920056, train acc: 0.837500, train avg acc: 0.839329
Test 168, loss: 0.949995, test acc: 0.775000, test avg acc: 0.763889
Train 169, loss: 0.939584, train acc: 0.800000, train avg acc: 0.802439
Test 169, loss: 0.942470, test acc: 0.800000, test avg acc: 0.794444
Train 170, loss: 0.930507, train acc: 0.818750, train avg acc: 0.821037
Test 170, loss: 0.936291, test acc: 0.825000, test avg acc: 0.816667
Train 171, loss: 0.938710, train acc: 0.818750, train avg acc: 0.821189
Test 171, loss: 0.932101, test acc: 0.850000, test avg acc: 0.841667
Train 172, loss: 0.920690, train acc: 0.850000, train avg acc: 0.851829
Test 172, loss: 0.938050, test acc: 0.825000, test avg acc: 0.816667
Train 173, loss: 0.922172, train acc: 0.825000, train avg acc: 0.826982
Test 173, loss: 0.933332, test acc: 0.850000, test avg acc: 0.841667
Train 174, loss: 0.938078, train acc: 0.806250, train avg acc: 0.808994
Test 174, loss: 0.929380, test acc: 0.850000, test avg acc: 0.836111
Train 175, loss: 0.937703, train acc: 0.831250, train avg acc: 0.833232
Test 175, loss: 0.926655, test acc: 0.825000, test avg acc: 0.813889
Train 176, loss: 0.937100, train acc: 0.800000, train avg acc: 0.801982
Test 176, loss: 0.941713, test acc: 0.825000, test avg acc: 0.816667
Train 177, loss: 0.951600, train acc: 0.843750, train avg acc: 0.846037
Test 177, loss: 0.938547, test acc: 0.800000, test avg acc: 0.791667
Train 178, loss: 0.948050, train acc: 0.800000, train avg acc: 0.802134
Test 178, loss: 0.930880, test acc: 0.800000, test avg acc: 0.791667
Train 179, loss: 0.914944, train acc: 0.862500, train avg acc: 0.864177
Test 179, loss: 0.936669, test acc: 0.850000, test avg acc: 0.841667
Train 180, loss: 0.925848, train acc: 0.843750, train avg acc: 0.845122
Test 180, loss: 0.937373, test acc: 0.825000, test avg acc: 0.816667
Train 181, loss: 0.930670, train acc: 0.806250, train avg acc: 0.808384
Test 181, loss: 0.930301, test acc: 0.800000, test avg acc: 0.788889
Train 182, loss: 0.939968, train acc: 0.850000, train avg acc: 0.851982
Test 182, loss: 0.935939, test acc: 0.775000, test avg acc: 0.761111
Train 183, loss: 0.938331, train acc: 0.831250, train avg acc: 0.832927
Test 183, loss: 0.928570, test acc: 0.825000, test avg acc: 0.819444
Train 184, loss: 0.951463, train acc: 0.850000, train avg acc: 0.851982
Test 184, loss: 0.933673, test acc: 0.850000, test avg acc: 0.841667
Train 185, loss: 0.949196, train acc: 0.818750, train avg acc: 0.821189
Test 185, loss: 0.928255, test acc: 0.775000, test avg acc: 0.761111
Train 186, loss: 0.917455, train acc: 0.831250, train avg acc: 0.833537
Test 186, loss: 0.927781, test acc: 0.825000, test avg acc: 0.816667
Train 187, loss: 0.923877, train acc: 0.825000, train avg acc: 0.827134
Test 187, loss: 0.931336, test acc: 0.825000, test avg acc: 0.816667
Train 188, loss: 0.916104, train acc: 0.856250, train avg acc: 0.857301
Test 188, loss: 0.939941, test acc: 0.825000, test avg acc: 0.816667
Train 189, loss: 0.947899, train acc: 0.818750, train avg acc: 0.821037
Test 189, loss: 0.935249, test acc: 0.800000, test avg acc: 0.783333
Train 190, loss: 0.927748, train acc: 0.793750, train avg acc: 0.796037
Test 190, loss: 0.934040, test acc: 0.825000, test avg acc: 0.816667
Train 191, loss: 0.947907, train acc: 0.800000, train avg acc: 0.801829
