K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 60, loss: 0.939265, test acc: 0.825000, test avg acc: 0.813889
Train 61, loss: 0.923424, train acc: 0.833333, train avg acc: 0.835526
Test 61, loss: 0.940615, test acc: 0.825000, test avg acc: 0.813889
Train 62, loss: 0.946529, train acc: 0.813333, train avg acc: 0.812767
Test 62, loss: 0.935190, test acc: 0.775000, test avg acc: 0.763889
Train 63, loss: 0.948023, train acc: 0.826667, train avg acc: 0.826458
Test 63, loss: 0.931425, test acc: 0.850000, test avg acc: 0.838889
Train 64, loss: 0.934948, train acc: 0.826667, train avg acc: 0.826449
Test 64, loss: 0.912435, test acc: 0.800000, test avg acc: 0.788889
Train 65, loss: 0.932446, train acc: 0.826667, train avg acc: 0.822391
Test 65, loss: 0.917980, test acc: 0.800000, test avg acc: 0.794444
Train 66, loss: 0.944530, train acc: 0.840000, train avg acc: 0.839077
Test 66, loss: 0.921055, test acc: 0.775000, test avg acc: 0.766667
Train 67, loss: 0.955804, train acc: 0.806667, train avg acc: 0.809628
Test 67, loss: 0.910808, test acc: 0.825000, test avg acc: 0.819444
Train 68, loss: 0.932801, train acc: 0.820000, train avg acc: 0.820057
Test 68, loss: 0.914878, test acc: 0.825000, test avg acc: 0.811111
Train 69, loss: 0.920933, train acc: 0.846667, train avg acc: 0.847617
Test 69, loss: 0.936959, test acc: 0.850000, test avg acc: 0.836111
Train 70, loss: 0.937125, train acc: 0.820000, train avg acc: 0.822072
Test 70, loss: 0.925385, test acc: 0.775000, test avg acc: 0.761111
Train 71, loss: 0.910466, train acc: 0.860000, train avg acc: 0.859886
Test 71, loss: 0.929708, test acc: 0.750000, test avg acc: 0.736111
Train 72, loss: 0.930767, train acc: 0.820000, train avg acc: 0.819523
Test 72, loss: 0.927940, test acc: 0.775000, test avg acc: 0.766667
Train 73, loss: 0.887214, train acc: 0.873333, train avg acc: 0.871622
Test 73, loss: 0.911281, test acc: 0.825000, test avg acc: 0.813889
Train 74, loss: 0.935352, train acc: 0.846667, train avg acc: 0.848684
Test 74, loss: 0.912079, test acc: 0.800000, test avg acc: 0.783333
Train 75, loss: 0.927360, train acc: 0.846667, train avg acc: 0.847795
Test 75, loss: 0.920466, test acc: 0.825000, test avg acc: 0.816667
Train 76, loss: 0.917979, train acc: 0.840000, train avg acc: 0.844298
Test 76, loss: 0.919762, test acc: 0.800000, test avg acc: 0.791667
Train 77, loss: 0.917350, train acc: 0.853333, train avg acc: 0.854908
Test 77, loss: 0.918464, test acc: 0.750000, test avg acc: 0.738889
Train 78, loss: 0.922362, train acc: 0.853333, train avg acc: 0.861032
Test 78, loss: 0.917271, test acc: 0.825000, test avg acc: 0.816667
Train 79, loss: 0.912870, train acc: 0.826667, train avg acc: 0.825371
Test 79, loss: 0.916431, test acc: 0.825000, test avg acc: 0.816667
Train 80, loss: 0.946089, train acc: 0.840000, train avg acc: 0.842689
Test 80, loss: 0.920090, test acc: 0.800000, test avg acc: 0.788889
Train 81, loss: 0.907610, train acc: 0.853333, train avg acc: 0.856781
Test 81, loss: 0.932807, test acc: 0.775000, test avg acc: 0.763889
Train 82, loss: 0.928455, train acc: 0.840000, train avg acc: 0.843412
Test 82, loss: 0.961224, test acc: 0.800000, test avg acc: 0.788889
Train 83, loss: 0.919467, train acc: 0.853333, train avg acc: 0.857794
Test 83, loss: 0.958463, test acc: 0.800000, test avg acc: 0.788889
Train 84, loss: 0.909535, train acc: 0.886667, train avg acc: 0.887907
Test 84, loss: 0.923739, test acc: 0.825000, test avg acc: 0.816667
Train 85, loss: 0.928932, train acc: 0.833333, train avg acc: 0.834200
