K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn_cov
Train 73, loss: 0.895164, train acc: 0.860000, train avg acc: 0.858108
Test 73, loss: 0.900383, test acc: 0.850000, test avg acc: 0.841667
Train 74, loss: 0.926474, train acc: 0.840000, train avg acc: 0.842274
Test 74, loss: 0.903086, test acc: 0.850000, test avg acc: 0.841667
Train 75, loss: 0.924358, train acc: 0.846667, train avg acc: 0.847440
Test 75, loss: 0.902904, test acc: 0.850000, test avg acc: 0.841667
Train 76, loss: 0.925060, train acc: 0.806667, train avg acc: 0.811235
Test 76, loss: 0.912549, test acc: 0.850000, test avg acc: 0.838889
Train 77, loss: 0.923744, train acc: 0.840000, train avg acc: 0.841927
Test 77, loss: 0.917423, test acc: 0.850000, test avg acc: 0.838889
Train 78, loss: 0.924134, train acc: 0.820000, train avg acc: 0.829327
Test 78, loss: 0.911924, test acc: 0.825000, test avg acc: 0.813889
Train 79, loss: 0.919496, train acc: 0.860000, train avg acc: 0.859531
Test 79, loss: 0.903866, test acc: 0.825000, test avg acc: 0.813889
Train 80, loss: 0.912602, train acc: 0.806667, train avg acc: 0.810638
Test 80, loss: 0.900157, test acc: 0.850000, test avg acc: 0.841667
Train 81, loss: 0.926442, train acc: 0.820000, train avg acc: 0.823878
Test 81, loss: 0.903420, test acc: 0.850000, test avg acc: 0.841667
Train 82, loss: 0.931426, train acc: 0.833333, train avg acc: 0.836149
Test 82, loss: 0.914112, test acc: 0.825000, test avg acc: 0.819444
Train 83, loss: 0.912830, train acc: 0.846667, train avg acc: 0.851552
Test 83, loss: 0.907168, test acc: 0.875000, test avg acc: 0.869444
Train 84, loss: 0.931352, train acc: 0.826667, train avg acc: 0.827789
Test 84, loss: 0.902311, test acc: 0.875000, test avg acc: 0.866667
Train 85, loss: 0.907133, train acc: 0.860000, train avg acc: 0.860534
Test 85, loss: 0.904016, test acc: 0.850000, test avg acc: 0.841667
Train 86, loss: 0.894512, train acc: 0.853333, train avg acc: 0.851974
Test 86, loss: 0.908959, test acc: 0.850000, test avg acc: 0.844444
Train 87, loss: 0.930541, train acc: 0.820000, train avg acc: 0.828686
Test 87, loss: 0.917322, test acc: 0.850000, test avg acc: 0.844444
Train 88, loss: 0.897366, train acc: 0.846667, train avg acc: 0.848684
Test 88, loss: 0.912425, test acc: 0.850000, test avg acc: 0.841667
Train 89, loss: 0.894252, train acc: 0.873333, train avg acc: 0.874111
Test 89, loss: 0.916265, test acc: 0.875000, test avg acc: 0.869444
Train 90, loss: 0.934948, train acc: 0.833333, train avg acc: 0.839954
Test 90, loss: 0.924480, test acc: 0.850000, test avg acc: 0.844444
Train 91, loss: 0.910753, train acc: 0.853333, train avg acc: 0.856781
Test 91, loss: 0.922277, test acc: 0.875000, test avg acc: 0.869444
Train 92, loss: 0.910424, train acc: 0.840000, train avg acc: 0.838085
Test 92, loss: 0.920185, test acc: 0.875000, test avg acc: 0.869444
Train 93, loss: 0.912666, train acc: 0.820000, train avg acc: 0.828686
Test 93, loss: 0.919684, test acc: 0.875000, test avg acc: 0.866667
Train 94, loss: 0.916194, train acc: 0.840000, train avg acc: 0.841880
Test 94, loss: 0.928360, test acc: 0.850000, test avg acc: 0.841667
Train 95, loss: 0.895401, train acc: 0.860000, train avg acc: 0.859886
Test 95, loss: 0.918358, test acc: 0.850000, test avg acc: 0.841667
Train 96, loss: 0.899064, train acc: 0.840000, train avg acc: 0.844298
Test 96, loss: 0.920241, test acc: 0.850000, test avg acc: 0.841667
Train 97, loss: 0.926333, train acc: 0.826667, train avg acc: 0.832103
Test 97, loss: 0.923946, test acc: 0.875000, test avg acc: 0.872222
Train 98, loss: 0.898189, train acc: 0.840000, train avg acc: 0.834091
Test 98, loss: 0.934006, test acc: 0.800000, test avg acc: 0.797222
Train 99, loss: 0.916398, train acc: 0.833333, train avg acc: 0.831944
Test 99, loss: 0.916942, test acc: 0.825000, test avg acc: 0.819444
Train 100, loss: 0.899222, train acc: 0.820000, train avg acc: 0.824730
Test 100, loss: 0.915148, test acc: 0.825000, test avg acc: 0.813889
Train 101, loss: 0.903664, train acc: 0.873333, train avg acc: 0.876068
Test 101, loss: 0.918818, test acc: 0.825000, test avg acc: 0.813889
Train 102, loss: 0.912301, train acc: 0.846667, train avg acc: 0.856250
Test 102, loss: 0.912027, test acc: 0.875000, test avg acc: 0.869444
Train 103, loss: 0.907185, train acc: 0.813333, train avg acc: 0.814002
Test 103, loss: 0.916344, test acc: 0.850000, test avg acc: 0.844444
Train 104, loss: 0.890569, train acc: 0.886667, train avg acc: 0.891026
Test 104, loss: 0.913126, test acc: 0.900000, test avg acc: 0.894444
Train 105, loss: 0.893839, train acc: 0.833333, train avg acc: 0.839189
Test 105, loss: 0.918934, test acc: 0.825000, test avg acc: 0.813889
Train 106, loss: 0.901313, train acc: 0.860000, train avg acc: 0.865385
Test 106, loss: 0.909838, test acc: 0.875000, test avg acc: 0.866667
Train 107, loss: 0.934322, train acc: 0.833333, train avg acc: 0.835526
Test 107, loss: 0.904976, test acc: 0.875000, test avg acc: 0.869444
Train 108, loss: 0.937748, train acc: 0.813333, train avg acc: 0.815612
Test 108, loss: 0.907468, test acc: 0.875000, test avg acc: 0.869444
Train 109, loss: 0.906480, train acc: 0.820000, train avg acc: 0.818634
Test 109, loss: 0.912073, test acc: 0.875000, test avg acc: 0.866667
Train 110, loss: 0.920235, train acc: 0.846667, train avg acc: 0.844595
Test 110, loss: 0.941077, test acc: 0.825000, test avg acc: 0.811111
Train 111, loss: 0.906853, train acc: 0.846667, train avg acc: 0.850709
Test 111, loss: 0.939935, test acc: 0.800000, test avg acc: 0.786111
Train 112, loss: 0.898374, train acc: 0.840000, train avg acc: 0.844120
Test 112, loss: 0.915035, test acc: 0.825000, test avg acc: 0.813889
Train 113, loss: 0.912772, train acc: 0.840000, train avg acc: 0.840831
Test 113, loss: 0.904383, test acc: 0.875000, test avg acc: 0.869444
Train 114, loss: 0.888311, train acc: 0.873333, train avg acc: 0.870783
Test 114, loss: 0.902964, test acc: 0.850000, test avg acc: 0.838889
Train 115, loss: 0.892675, train acc: 0.866667, train avg acc: 0.870833
Test 115, loss: 0.904459, test acc: 0.875000, test avg acc: 0.866667
Train 116, loss: 0.888888, train acc: 0.846667, train avg acc: 0.849446
Test 116, loss: 0.905797, test acc: 0.850000, test avg acc: 0.838889
Train 117, loss: 0.905091, train acc: 0.840000, train avg acc: 0.839209
Test 117, loss: 0.913279, test acc: 0.825000, test avg acc: 0.811111
Train 118, loss: 0.881075, train acc: 0.920000, train avg acc: 0.919986
Test 118, loss: 0.908147, test acc: 0.825000, test avg acc: 0.813889
Train 119, loss: 0.876664, train acc: 0.873333, train avg acc: 0.878209
Test 119, loss: 0.914448, test acc: 0.875000, test avg acc: 0.869444
Train 120, loss: 0.885293, train acc: 0.893333, train avg acc: 0.895580
Test 120, loss: 0.923330, test acc: 0.875000, test avg acc: 0.869444
Train 121, loss: 0.883661, train acc: 0.880000, train avg acc: 0.885197
Test 121, loss: 0.916228, test acc: 0.875000, test avg acc: 0.869444
Train 122, loss: 0.906439, train acc: 0.860000, train avg acc: 0.860064
Test 122, loss: 0.909797, test acc: 0.875000, test avg acc: 0.869444
Train 123, loss: 0.892670, train acc: 0.873333, train avg acc: 0.878458
Test 123, loss: 0.919399, test acc: 0.825000, test avg acc: 0.813889
Train 124, loss: 0.879986, train acc: 0.873333, train avg acc: 0.874740
Test 124, loss: 0.925928, test acc: 0.825000, test avg acc: 0.813889
Train 125, loss: 0.868384, train acc: 0.873333, train avg acc: 0.875433
Test 125, loss: 0.937708, test acc: 0.825000, test avg acc: 0.813889
Train 126, loss: 0.899805, train acc: 0.833333, train avg acc: 0.836655
Test 126, loss: 0.936124, test acc: 0.825000, test avg acc: 0.813889
Train 127, loss: 0.910023, train acc: 0.860000, train avg acc: 0.857456
Test 127, loss: 0.950273, test acc: 0.800000, test avg acc: 0.786111
Train 128, loss: 0.907701, train acc: 0.840000, train avg acc: 0.844804
Test 128, loss: 0.944531, test acc: 0.825000, test avg acc: 0.811111
Train 129, loss: 0.882215, train acc: 0.866667, train avg acc: 0.870946
Test 129, loss: 0.927409, test acc: 0.825000, test avg acc: 0.816667
Train 130, loss: 0.898397, train acc: 0.866667, train avg acc: 0.865385
Test 130, loss: 0.917758, test acc: 0.850000, test avg acc: 0.841667
Train 131, loss: 0.899988, train acc: 0.840000, train avg acc: 0.844130
Test 131, loss: 0.915919, test acc: 0.850000, test avg acc: 0.841667
Train 132, loss: 0.869878, train acc: 0.886667, train avg acc: 0.885897
Test 132, loss: 0.926503, test acc: 0.825000, test avg acc: 0.813889
Train 133, loss: 0.884105, train acc: 0.880000, train avg acc: 0.884615
Test 133, loss: 0.945729, test acc: 0.800000, test avg acc: 0.783333
Train 134, loss: 0.880373, train acc: 0.873333, train avg acc: 0.874394
Test 134, loss: 0.922587, test acc: 0.825000, test avg acc: 0.813889
Train 135, loss: 0.880356, train acc: 0.873333, train avg acc: 0.876524
Test 135, loss: 0.925715, test acc: 0.875000, test avg acc: 0.869444
Train 136, loss: 0.856078, train acc: 0.920000, train avg acc: 0.920651
Test 136, loss: 0.917511, test acc: 0.850000, test avg acc: 0.841667
Train 137, loss: 0.875141, train acc: 0.900000, train avg acc: 0.899488
Test 137, loss: 0.929174, test acc: 0.850000, test avg acc: 0.841667
Train 138, loss: 0.866897, train acc: 0.900000, train avg acc: 0.900071
Test 138, loss: 0.941196, test acc: 0.875000, test avg acc: 0.869444
Train 139, loss: 0.873896, train acc: 0.886667, train avg acc: 0.888194
Test 139, loss: 0.976550, test acc: 0.800000, test avg acc: 0.786111
Train 140, loss: 0.899369, train acc: 0.860000, train avg acc: 0.859509
Test 140, loss: 0.960420, test acc: 0.800000, test avg acc: 0.786111
Train 141, loss: 0.883204, train acc: 0.873333, train avg acc: 0.874111
Test 141, loss: 0.930639, test acc: 0.875000, test avg acc: 0.869444
Train 142, loss: 0.881631, train acc: 0.866667, train avg acc: 0.865497
Test 142, loss: 0.938601, test acc: 0.825000, test avg acc: 0.811111
Train 143, loss: 0.879212, train acc: 0.873333, train avg acc: 0.875000
Test 143, loss: 0.961567, test acc: 0.800000, test avg acc: 0.783333
Train 144, loss: 0.890574, train acc: 0.906667, train avg acc: 0.909028
Test 144, loss: 0.936805, test acc: 0.825000, test avg acc: 0.811111
Train 145, loss: 0.883599, train acc: 0.920000, train avg acc: 0.924342
Test 145, loss: 0.937042, test acc: 0.850000, test avg acc: 0.841667
Train 146, loss: 0.889927, train acc: 0.853333, train avg acc: 0.851351
Test 146, loss: 0.930995, test acc: 0.825000, test avg acc: 0.811111
Train 147, loss: 0.887400, train acc: 0.873333, train avg acc: 0.875433
Test 147, loss: 0.938613, test acc: 0.825000, test avg acc: 0.811111
Train 148, loss: 0.877862, train acc: 0.880000, train avg acc: 0.879274
Test 148, loss: 0.946093, test acc: 0.800000, test avg acc: 0.786111
Train 149, loss: 0.890166, train acc: 0.866667, train avg acc: 0.870277
Test 149, loss: 0.936510, test acc: 0.800000, test avg acc: 0.786111
Train 150, loss: 0.871442, train acc: 0.906667, train avg acc: 0.908907
Test 150, loss: 0.927336, test acc: 0.800000, test avg acc: 0.786111
Train 151, loss: 0.875515, train acc: 0.880000, train avg acc: 0.881150
Test 151, loss: 0.928685, test acc: 0.825000, test avg acc: 0.813889
Train 152, loss: 0.870172, train acc: 0.900000, train avg acc: 0.901074
Test 152, loss: 0.943059, test acc: 0.800000, test avg acc: 0.786111
Train 153, loss: 0.853489, train acc: 0.913333, train avg acc: 0.913827
Test 153, loss: 0.968557, test acc: 0.825000, test avg acc: 0.811111
Train 154, loss: 0.879095, train acc: 0.893333, train avg acc: 0.894737
Test 154, loss: 0.958037, test acc: 0.775000, test avg acc: 0.761111
Train 155, loss: 0.893039, train acc: 0.873333, train avg acc: 0.878873
Test 155, loss: 0.950176, test acc: 0.850000, test avg acc: 0.844444
Train 156, loss: 0.867658, train acc: 0.893333, train avg acc: 0.897436
Test 156, loss: 0.978319, test acc: 0.800000, test avg acc: 0.786111
Train 157, loss: 0.879736, train acc: 0.873333, train avg acc: 0.876350
Test 157, loss: 0.977835, test acc: 0.800000, test avg acc: 0.786111
Train 158, loss: 0.886987, train acc: 0.886667, train avg acc: 0.889001
Test 158, loss: 0.946655, test acc: 0.800000, test avg acc: 0.786111
Train 159, loss: 0.886449, train acc: 0.866667, train avg acc: 0.868421
Test 159, loss: 0.931946, test acc: 0.800000, test avg acc: 0.786111
Train 160, loss: 0.866678, train acc: 0.880000, train avg acc: 0.879392
Test 160, loss: 0.928950, test acc: 0.825000, test avg acc: 0.813889
Train 161, loss: 0.871866, train acc: 0.886667, train avg acc: 0.883634
Test 161, loss: 0.935881, test acc: 0.825000, test avg acc: 0.816667
Train 162, loss: 0.874983, train acc: 0.873333, train avg acc: 0.877632
Test 162, loss: 0.946919, test acc: 0.825000, test avg acc: 0.811111
Train 163, loss: 0.883387, train acc: 0.886667, train avg acc: 0.889566
Test 163, loss: 0.950026, test acc: 0.825000, test avg acc: 0.813889
Train 164, loss: 0.849728, train acc: 0.920000, train avg acc: 0.920833
Test 164, loss: 0.958654, test acc: 0.825000, test avg acc: 0.816667
Train 165, loss: 0.875268, train acc: 0.886667, train avg acc: 0.885135
Test 165, loss: 0.948488, test acc: 0.825000, test avg acc: 0.816667
Train 166, loss: 0.856225, train acc: 0.906667, train avg acc: 0.905405
Test 166, loss: 0.940044, test acc: 0.850000, test avg acc: 0.841667
Train 167, loss: 0.853790, train acc: 0.913333, train avg acc: 0.915655
Test 167, loss: 0.940542, test acc: 0.850000, test avg acc: 0.841667
Train 168, loss: 0.873245, train acc: 0.913333, train avg acc: 0.913407
Test 168, loss: 0.954621, test acc: 0.825000, test avg acc: 0.813889
Train 169, loss: 0.855274, train acc: 0.893333, train avg acc: 0.896086
Test 169, loss: 0.943745, test acc: 0.850000, test avg acc: 0.841667
Train 170, loss: 0.857551, train acc: 0.893333, train avg acc: 0.892857
Test 170, loss: 0.949552, test acc: 0.800000, test avg acc: 0.786111
Train 171, loss: 0.865306, train acc: 0.900000, train avg acc: 0.903618
Test 171, loss: 0.938526, test acc: 0.850000, test avg acc: 0.841667
Train 172, loss: 0.861222, train acc: 0.913333, train avg acc: 0.913462
Test 172, loss: 0.931810, test acc: 0.850000, test avg acc: 0.841667
Train 173, loss: 0.849945, train acc: 0.900000, train avg acc: 0.899451
Test 173, loss: 0.966991, test acc: 0.800000, test avg acc: 0.786111
Train 174, loss: 0.852203, train acc: 0.900000, train avg acc: 0.899538
