K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 75, loss: 0.909368, test acc: 0.875000, test avg acc: 0.866667
Train 76, loss: 0.927067, train acc: 0.820000, train avg acc: 0.821124
Test 76, loss: 0.910448, test acc: 0.775000, test avg acc: 0.755556
Train 77, loss: 0.932898, train acc: 0.813333, train avg acc: 0.815216
Test 77, loss: 0.918853, test acc: 0.800000, test avg acc: 0.788889
Train 78, loss: 0.932603, train acc: 0.793333, train avg acc: 0.796778
Test 78, loss: 0.931795, test acc: 0.850000, test avg acc: 0.847222
Train 79, loss: 0.939003, train acc: 0.813333, train avg acc: 0.818489
Test 79, loss: 0.923810, test acc: 0.800000, test avg acc: 0.788889
Train 80, loss: 0.928533, train acc: 0.806667, train avg acc: 0.811447
Test 80, loss: 0.912268, test acc: 0.825000, test avg acc: 0.813889
Train 81, loss: 0.911772, train acc: 0.826667, train avg acc: 0.826804
Test 81, loss: 0.918698, test acc: 0.875000, test avg acc: 0.872222
Train 82, loss: 0.934124, train acc: 0.786667, train avg acc: 0.789474
Test 82, loss: 0.907990, test acc: 0.900000, test avg acc: 0.894444
Train 83, loss: 0.901118, train acc: 0.853333, train avg acc: 0.856922
Test 83, loss: 0.909950, test acc: 0.850000, test avg acc: 0.844444
Train 84, loss: 0.920719, train acc: 0.806667, train avg acc: 0.806899
Test 84, loss: 0.911039, test acc: 0.850000, test avg acc: 0.844444
Train 85, loss: 0.945980, train acc: 0.813333, train avg acc: 0.819780
Test 85, loss: 0.910600, test acc: 0.850000, test avg acc: 0.844444
Train 86, loss: 0.928486, train acc: 0.853333, train avg acc: 0.852765
Test 86, loss: 0.907012, test acc: 0.850000, test avg acc: 0.838889
Train 87, loss: 0.933582, train acc: 0.806667, train avg acc: 0.806010
Test 87, loss: 0.908014, test acc: 0.850000, test avg acc: 0.841667
Train 88, loss: 0.925406, train acc: 0.833333, train avg acc: 0.834315
Test 88, loss: 0.922091, test acc: 0.825000, test avg acc: 0.822222
Train 89, loss: 0.946545, train acc: 0.800000, train avg acc: 0.809539
Test 89, loss: 0.928613, test acc: 0.825000, test avg acc: 0.822222
Train 90, loss: 0.942103, train acc: 0.813333, train avg acc: 0.815789
Test 90, loss: 0.917799, test acc: 0.850000, test avg acc: 0.838889
Train 91, loss: 0.913432, train acc: 0.840000, train avg acc: 0.835892
Test 91, loss: 0.913634, test acc: 0.825000, test avg acc: 0.811111
Train 92, loss: 0.940099, train acc: 0.800000, train avg acc: 0.803712
Test 92, loss: 0.914552, test acc: 0.850000, test avg acc: 0.841667
Train 93, loss: 0.932282, train acc: 0.820000, train avg acc: 0.824730
Test 93, loss: 0.908417, test acc: 0.875000, test avg acc: 0.866667
Train 94, loss: 0.934042, train acc: 0.786667, train avg acc: 0.783260
Test 94, loss: 0.906471, test acc: 0.850000, test avg acc: 0.838889
Train 95, loss: 0.915037, train acc: 0.833333, train avg acc: 0.831081
Test 95, loss: 0.905363, test acc: 0.850000, test avg acc: 0.838889
Train 96, loss: 0.926560, train acc: 0.826667, train avg acc: 0.828770
Test 96, loss: 0.911472, test acc: 0.800000, test avg acc: 0.783333
Train 97, loss: 0.953162, train acc: 0.806667, train avg acc: 0.809211
Test 97, loss: 0.916605, test acc: 0.850000, test avg acc: 0.841667
Train 98, loss: 0.917457, train acc: 0.853333, train avg acc: 0.860897
Test 98, loss: 0.919111, test acc: 0.850000, test avg acc: 0.847222
Train 99, loss: 0.936796, train acc: 0.786667, train avg acc: 0.779887
Test 99, loss: 0.917057, test acc: 0.850000, test avg acc: 0.847222
Train 100, loss: 0.910468, train acc: 0.826667, train avg acc: 0.825855
Test 100, loss: 0.907694, test acc: 0.850000, test avg acc: 0.841667
Train 101, loss: 0.932793, train acc: 0.793333, train avg acc: 0.806162
Test 101, loss: 0.903102, test acc: 0.875000, test avg acc: 0.866667
Train 102, loss: 0.927610, train acc: 0.793333, train avg acc: 0.790027
Test 102, loss: 0.907993, test acc: 0.850000, test avg acc: 0.838889
Train 103, loss: 0.926590, train acc: 0.800000, train avg acc: 0.809822
Test 103, loss: 0.908112, test acc: 0.900000, test avg acc: 0.894444
Train 104, loss: 0.919384, train acc: 0.833333, train avg acc: 0.839744
Test 104, loss: 0.910217, test acc: 0.850000, test avg acc: 0.838889
Train 105, loss: 0.917995, train acc: 0.833333, train avg acc: 0.834936
Test 105, loss: 0.908542, test acc: 0.850000, test avg acc: 0.841667
Train 106, loss: 0.903814, train acc: 0.846667, train avg acc: 0.844664
Test 106, loss: 0.912531, test acc: 0.850000, test avg acc: 0.844444
Train 107, loss: 0.922241, train acc: 0.820000, train avg acc: 0.822368
Test 107, loss: 0.907888, test acc: 0.825000, test avg acc: 0.816667
Train 108, loss: 0.926412, train acc: 0.833333, train avg acc: 0.834599
Test 108, loss: 0.910178, test acc: 0.850000, test avg acc: 0.844444
Train 109, loss: 0.938584, train acc: 0.786667, train avg acc: 0.793750
Test 109, loss: 0.919600, test acc: 0.825000, test avg acc: 0.822222
Train 110, loss: 0.915717, train acc: 0.840000, train avg acc: 0.835023
Test 110, loss: 0.911532, test acc: 0.875000, test avg acc: 0.869444
Train 111, loss: 0.933895, train acc: 0.833333, train avg acc: 0.833868
Test 111, loss: 0.906652, test acc: 0.850000, test avg acc: 0.841667
Train 112, loss: 0.922706, train acc: 0.833333, train avg acc: 0.835526
Test 112, loss: 0.904299, test acc: 0.875000, test avg acc: 0.866667
