K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 pointnet
Test 101, loss: 1.269284, test acc: 0.600000, test avg acc: 0.605303
Train 102, loss: 1.313992, train acc: 0.440000, train avg acc: 0.439693
Test 102, loss: 1.306560, test acc: 0.350000, test avg acc: 0.330051
Train 103, loss: 1.310741, train acc: 0.393333, train avg acc: 0.387800
Test 103, loss: 1.288059, test acc: 0.450000, test avg acc: 0.440657
Train 104, loss: 1.298009, train acc: 0.420000, train avg acc: 0.422557
Test 104, loss: 1.275670, test acc: 0.425000, test avg acc: 0.412374
Train 105, loss: 1.320908, train acc: 0.426667, train avg acc: 0.425698
Test 105, loss: 1.282730, test acc: 0.425000, test avg acc: 0.414646
Train 106, loss: 1.327900, train acc: 0.380000, train avg acc: 0.374232
Test 106, loss: 1.283537, test acc: 0.400000, test avg acc: 0.384091
Train 107, loss: 1.334031, train acc: 0.426667, train avg acc: 0.431791
Test 107, loss: 1.286879, test acc: 0.475000, test avg acc: 0.461869
Train 108, loss: 1.305572, train acc: 0.420000, train avg acc: 0.422694
Test 108, loss: 1.290597, test acc: 0.450000, test avg acc: 0.434596
Train 109, loss: 1.308184, train acc: 0.440000, train avg acc: 0.443656
Test 109, loss: 1.290728, test acc: 0.550000, test avg acc: 0.545707
Train 110, loss: 1.331781, train acc: 0.380000, train avg acc: 0.383944
Test 110, loss: 1.284449, test acc: 0.450000, test avg acc: 0.437374
Train 111, loss: 1.334066, train acc: 0.446667, train avg acc: 0.452457
Test 111, loss: 1.285182, test acc: 0.350000, test avg acc: 0.341414
Train 112, loss: 1.328328, train acc: 0.353333, train avg acc: 0.352596
Test 112, loss: 1.296258, test acc: 0.475000, test avg acc: 0.466414
Train 113, loss: 1.305093, train acc: 0.466667, train avg acc: 0.469696
Test 113, loss: 1.307144, test acc: 0.500000, test avg acc: 0.489141
Train 114, loss: 1.306931, train acc: 0.440000, train avg acc: 0.445646
Test 114, loss: 1.301137, test acc: 0.500000, test avg acc: 0.489141
Train 115, loss: 1.310928, train acc: 0.440000, train avg acc: 0.449159
Test 115, loss: 1.276926, test acc: 0.475000, test avg acc: 0.457323
Train 116, loss: 1.292804, train acc: 0.433333, train avg acc: 0.439189
Test 116, loss: 1.287182, test acc: 0.450000, test avg acc: 0.435606
Train 117, loss: 1.317345, train acc: 0.400000, train avg acc: 0.399006
Test 117, loss: 1.268609, test acc: 0.400000, test avg acc: 0.386869
Train 118, loss: 1.334310, train acc: 0.406667, train avg acc: 0.405932
Test 118, loss: 1.267433, test acc: 0.475000, test avg acc: 0.462374
Train 119, loss: 1.319897, train acc: 0.446667, train avg acc: 0.445414
Test 119, loss: 1.278418, test acc: 0.450000, test avg acc: 0.434596
Train 120, loss: 1.315036, train acc: 0.413333, train avg acc: 0.414651
Test 120, loss: 1.287930, test acc: 0.425000, test avg acc: 0.411869
Train 121, loss: 1.339034, train acc: 0.406667, train avg acc: 0.400423
Test 121, loss: 1.280085, test acc: 0.475000, test avg acc: 0.457828
Train 122, loss: 1.319027, train acc: 0.426667, train avg acc: 0.425774
Test 122, loss: 1.297206, test acc: 0.425000, test avg acc: 0.402273
Train 123, loss: 1.314524, train acc: 0.453333, train avg acc: 0.451764
Test 123, loss: 1.262743, test acc: 0.550000, test avg acc: 0.535101
Train 124, loss: 1.284604, train acc: 0.446667, train avg acc: 0.445901
Test 124, loss: 1.275141, test acc: 0.550000, test avg acc: 0.539646
Train 125, loss: 1.270885, train acc: 0.480000, train avg acc: 0.482675
Test 125, loss: 1.290156, test acc: 0.500000, test avg acc: 0.494192
Train 126, loss: 1.298416, train acc: 0.460000, train avg acc: 0.458521
Test 126, loss: 1.279945, test acc: 0.525000, test avg acc: 0.516919
Train 127, loss: 1.309200, train acc: 0.420000, train avg acc: 0.427703
Test 127, loss: 1.267142, test acc: 0.550000, test avg acc: 0.539646
Train 128, loss: 1.312413, train acc: 0.380000, train avg acc: 0.381670
Test 128, loss: 1.247652, test acc: 0.575000, test avg acc: 0.567929
Train 129, loss: 1.287461, train acc: 0.466667, train avg acc: 0.467471
Test 129, loss: 1.258241, test acc: 0.550000, test avg acc: 0.540657
Train 130, loss: 1.292783, train acc: 0.440000, train avg acc: 0.442840
Test 130, loss: 1.291373, test acc: 0.500000, test avg acc: 0.480556
Train 131, loss: 1.305891, train acc: 0.460000, train avg acc: 0.456289
Test 131, loss: 1.286714, test acc: 0.500000, test avg acc: 0.485606
Train 132, loss: 1.317592, train acc: 0.426667, train avg acc: 0.423419
Test 132, loss: 1.258415, test acc: 0.575000, test avg acc: 0.567424
Train 133, loss: 1.284243, train acc: 0.453333, train avg acc: 0.454836
Test 133, loss: 1.279937, test acc: 0.525000, test avg acc: 0.516919
Train 134, loss: 1.313378, train acc: 0.426667, train avg acc: 0.425647
Test 134, loss: 1.270728, test acc: 0.550000, test avg acc: 0.542424
Train 135, loss: 1.298632, train acc: 0.420000, train avg acc: 0.429647
Test 135, loss: 1.275242, test acc: 0.500000, test avg acc: 0.485101
Train 136, loss: 1.282322, train acc: 0.486667, train avg acc: 0.492250
Test 136, loss: 1.307087, test acc: 0.500000, test avg acc: 0.491162
Train 137, loss: 1.325050, train acc: 0.400000, train avg acc: 0.400549
Test 137, loss: 1.285959, test acc: 0.475000, test avg acc: 0.472980
Train 138, loss: 1.312476, train acc: 0.386667, train avg acc: 0.390015
Test 138, loss: 1.257951, test acc: 0.500000, test avg acc: 0.494697
Train 139, loss: 1.292527, train acc: 0.480000, train avg acc: 0.476800
Test 139, loss: 1.260369, test acc: 0.525000, test avg acc: 0.521970
Train 140, loss: 1.284805, train acc: 0.440000, train avg acc: 0.445399
Test 140, loss: 1.272149, test acc: 0.450000, test avg acc: 0.446465
Train 141, loss: 1.301464, train acc: 0.446667, train avg acc: 0.447577
Test 141, loss: 1.274283, test acc: 0.425000, test avg acc: 0.421465
Train 142, loss: 1.307788, train acc: 0.426667, train avg acc: 0.424687
Test 142, loss: 1.268541, test acc: 0.425000, test avg acc: 0.421465
Train 143, loss: 1.304172, train acc: 0.460000, train avg acc: 0.457602
Test 143, loss: 1.269356, test acc: 0.525000, test avg acc: 0.516919
Train 144, loss: 1.305305, train acc: 0.446667, train avg acc: 0.446525
Test 144, loss: 1.268773, test acc: 0.525000, test avg acc: 0.516919
Train 145, loss: 1.304243, train acc: 0.446667, train avg acc: 0.451014
