K: 15, local_K: 15, Batch: 30.000000 ./Data/Surface_Defects_pcd_extend_2000_estnorm_noise0001 hgcnn
Test 108, loss: 0.916868, test acc: 0.825000, test avg acc: 0.816667
Train 109, loss: 0.926603, train acc: 0.786667, train avg acc: 0.793750
Test 109, loss: 0.932766, test acc: 0.800000, test avg acc: 0.797222
Train 110, loss: 0.911131, train acc: 0.846667, train avg acc: 0.842126
Test 110, loss: 0.924824, test acc: 0.775000, test avg acc: 0.769444
Train 111, loss: 0.934589, train acc: 0.820000, train avg acc: 0.821047
Test 111, loss: 0.917231, test acc: 0.850000, test avg acc: 0.841667
Train 112, loss: 0.928472, train acc: 0.853333, train avg acc: 0.855432
Test 112, loss: 0.914008, test acc: 0.875000, test avg acc: 0.866667
Train 113, loss: 0.939235, train acc: 0.806667, train avg acc: 0.806188
Test 113, loss: 0.912054, test acc: 0.900000, test avg acc: 0.894444
Train 114, loss: 0.931531, train acc: 0.786667, train avg acc: 0.792679
Test 114, loss: 0.906839, test acc: 0.900000, test avg acc: 0.894444
Train 115, loss: 0.925473, train acc: 0.800000, train avg acc: 0.804167
Test 115, loss: 0.904778, test acc: 0.900000, test avg acc: 0.894444
Train 116, loss: 0.921727, train acc: 0.806667, train avg acc: 0.812078
Test 116, loss: 0.907877, test acc: 0.900000, test avg acc: 0.897222
Train 117, loss: 0.900575, train acc: 0.833333, train avg acc: 0.833333
Test 117, loss: 0.909386, test acc: 0.875000, test avg acc: 0.872222
Train 118, loss: 0.924679, train acc: 0.833333, train avg acc: 0.831197
Test 118, loss: 0.902710, test acc: 0.900000, test avg acc: 0.894444
Train 119, loss: 0.927879, train acc: 0.820000, train avg acc: 0.829433
Test 119, loss: 0.901637, test acc: 0.875000, test avg acc: 0.866667
Train 120, loss: 0.955197, train acc: 0.793333, train avg acc: 0.801747
Test 120, loss: 0.903412, test acc: 0.900000, test avg acc: 0.894444
Train 121, loss: 0.908078, train acc: 0.826667, train avg acc: 0.833224
Test 121, loss: 0.914873, test acc: 0.850000, test avg acc: 0.847222
Train 122, loss: 0.915495, train acc: 0.813333, train avg acc: 0.813122
Test 122, loss: 0.913190, test acc: 0.850000, test avg acc: 0.847222
Train 123, loss: 0.918296, train acc: 0.800000, train avg acc: 0.800498
Test 123, loss: 0.912195, test acc: 0.850000, test avg acc: 0.847222
Train 124, loss: 0.924775, train acc: 0.846667, train avg acc: 0.845029
Test 124, loss: 0.909857, test acc: 0.850000, test avg acc: 0.847222
Train 125, loss: 0.911613, train acc: 0.833333, train avg acc: 0.828195
Test 125, loss: 0.909238, test acc: 0.875000, test avg acc: 0.866667
Train 126, loss: 0.899133, train acc: 0.846667, train avg acc: 0.847756
Test 126, loss: 0.902804, test acc: 0.875000, test avg acc: 0.866667
Train 127, loss: 0.910043, train acc: 0.840000, train avg acc: 0.839616
Test 127, loss: 0.907472, test acc: 0.850000, test avg acc: 0.841667
Train 128, loss: 0.909612, train acc: 0.833333, train avg acc: 0.836482
Test 128, loss: 0.904988, test acc: 0.850000, test avg acc: 0.841667
Train 129, loss: 0.917698, train acc: 0.840000, train avg acc: 0.836623
Test 129, loss: 0.901495, test acc: 0.875000, test avg acc: 0.866667
Train 130, loss: 0.923799, train acc: 0.833333, train avg acc: 0.833570
Test 130, loss: 0.903826, test acc: 0.825000, test avg acc: 0.816667
Train 131, loss: 0.910250, train acc: 0.840000, train avg acc: 0.841740
Test 131, loss: 0.907248, test acc: 0.875000, test avg acc: 0.872222
Train 132, loss: 0.927193, train acc: 0.806667, train avg acc: 0.813816
Test 132, loss: 0.907014, test acc: 0.825000, test avg acc: 0.813889
Train 133, loss: 0.906459, train acc: 0.800000, train avg acc: 0.807331
Test 133, loss: 0.914890, test acc: 0.825000, test avg acc: 0.816667
Train 134, loss: 0.909540, train acc: 0.820000, train avg acc: 0.816667
Test 134, loss: 0.918598, test acc: 0.825000, test avg acc: 0.819444
Train 135, loss: 0.910025, train acc: 0.846667, train avg acc: 0.849099
Test 135, loss: 0.915650, test acc: 0.800000, test avg acc: 0.794444
Train 136, loss: 0.914328, train acc: 0.806667, train avg acc: 0.813410
Test 136, loss: 0.911330, test acc: 0.850000, test avg acc: 0.844444
Train 137, loss: 0.922620, train acc: 0.806667, train avg acc: 0.813487
Test 137, loss: 0.905696, test acc: 0.850000, test avg acc: 0.841667
Train 138, loss: 0.916367, train acc: 0.813333, train avg acc: 0.817048
